stratum,quantity,value,lo95,hi95,quotes,authors,note
public_domain,sel_worst_n64,0.036697,0.0,0.083333,218,19,
public_domain,risky_exact,0.810493,0.79332,0.832514,218,19,
public_domain,risky_near,0.839163,0.82358,0.855239,218,19,
public_domain,meter_0.0649836_exact,0.004014,0.0,0.011068,218,19,
public_domain,meter_0.0649836_near,0.005161,0.0,0.014706,218,19,
public_domain,meter_0.5_exact,0.004014,0.0,0.011068,218,19,
public_domain,meter_0.5_near,0.006307,0.000856,0.014974,218,19,
public_domain,meter_1_exact,0.009174,0.002593,0.020202,218,19,
public_domain,meter_1_near,0.017202,0.008603,0.031106,218,19,
public_domain,meter_3_exact,0.154817,0.126121,0.188665,218,19,
public_domain,meter_3_near,0.233945,0.195378,0.276316,218,19,
public_domain,meter_10_exact,0.783257,0.758359,0.822154,218,19,
public_domain,meter_10_near,0.817661,0.793782,0.849719,218,19,
public_domain,risky_exact - anchor_exact,0.806766,0.78659,0.829811,218,19,
public_domain,risky_exact - sel_worst_n64,0.773796,0.714674,0.823544,218,19,
public_domain,meter_0.0649836_exact - anchor_exact,0.000287,-0.001176,0.00253,218,19,
public_domain,meter_0.5_exact - anchor_exact,0.000287,-0.001176,0.00253,218,19,
public_domain,meter_1_exact - anchor_exact,0.005447,0.001563,0.012019,218,19,
public_domain,meter_3_exact - anchor_exact,0.151089,0.12375,0.182555,218,19,
public_domain,meter_10_exact - anchor_exact,0.77953,0.754072,0.818837,218,19,
public_domain,share S_anchor <= log 8,0.0,0.0,0.0,218,19,K=2.0794
public_domain,share S_whole_anchor <= log 8,0.0,0.0,0.0,218,19,K=2.0794
public_domain,share S_anchor <= log 64,0.0,0.0,0.0,218,19,K=4.1589
public_domain,share S_whole_anchor <= log 64,0.0,0.0,0.0,218,19,K=4.1589
public_domain,share S_anchor <= 20,0.293578,0.204082,0.373272,218,19,K=20.0000
public_domain,share S_whole_anchor <= 20,0.0,0.0,0.0,218,19,K=20.0000
public_domain,"share S_anchor <= 64k, k=0.0649836",0.0,0.0,0.0,218,19,K=4.1590
public_domain,"share S_whole_anchor <= 64k, k=0.0649836",0.0,0.0,0.0,218,19,K=4.1590
public_domain,"share S_anchor <= 64k, k=0.5",0.651376,0.584459,0.716216,218,19,K=32.0000
public_domain,"share S_whole_anchor <= 64k, k=0.5",0.0,0.0,0.0,218,19,K=32.0000
public_domain,"share S_anchor <= 64k, k=1",0.926606,0.862745,0.960317,218,19,K=64.0000
public_domain,"share S_whole_anchor <= 64k, k=1",0.385321,0.260638,0.490196,218,19,K=64.0000
public_domain,"share S_anchor <= 64k, k=3",1.0,1.0,1.0,218,19,K=192.0000
public_domain,"share S_whole_anchor <= 64k, k=3",0.977064,0.95,0.992537,218,19,K=192.0000
public_domain,"share S_anchor <= 64k, k=10",1.0,1.0,1.0,218,19,K=640.0000
public_domain,"share S_whole_anchor <= 64k, k=10",1.0,1.0,1.0,218,19,K=640.0000
public_domain,median S_anchor,25.3066,,,218,19,nats
public_domain,median S_risky,4.4558,,,218,19,nats
public_domain,median S_whole_anchor,72.2703,,,218,19,nats
public_domain,median S_whole_risky,25.6272,,,218,19,nats
public_domain,median S_anchor per target token,2.7474,,,218,19,nats/token
public_domain,sel_worst_n64 where S > K (log 64),0.036697,0.0,0.083333,218,19,K=4.1589
public_domain,meter_0.0649836_exact where S > K (64k),0.004014,0.0,0.011068,218,19,K=4.1590
public_domain,meter_0.5_exact where S <= K (64k),0.006162,0.0,0.017405,142,19,K=32.0000
public_domain,meter_0.5_exact where S > K (64k),0.0,0.0,0.0,76,16,K=32.0000
public_domain,meter_1_exact where S <= K (64k),0.009901,0.002799,0.022436,202,19,K=64.0000
public_domain,meter_1_exact where S > K (64k),0.0,0.0,0.0,16,10,K=64.0000
public_domain,meter_3_exact where S <= K (64k),0.154817,0.126121,0.188665,218,19,K=192.0000
public_domain,meter_10_exact where S <= K (64k),0.783257,0.758359,0.822154,218,19,K=640.0000
all,meter trajectories over budget,0,,,1267,,"Z > max(0,B) + 1e-3"
