n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.4333,0.8,76.84,0.5743,80.0,61.0,85.0
8,1.2044,100,0.6061,0.8,110.41,0.7376,92.0,89.0,94.0
64,3.1745,100,0.65,0.8,122.5,0.7772,95.0,94.0,97.0
256,4.5491,100,0.6675,0.8031,127.62,0.7918,97.0,97.0,98.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
