model,id,novel,n_tok,s_rate,k_crit,binding_token,binding_frac,ratio_skip0,ratio_skip1,ratio_skip5,ratio_skip10,ratio_skip20
alea-institute/kl3m-003-3.7b,bookmia.00.11,1984,114,1.5201397082812291,9.564041137695312,0,0.0,6.291554049666298,2.6435322582099756,1.7730096537143267,1.7827158350717398,2.2132970451489116
alea-institute/kl3m-003-3.7b,bookmia.00.26,1984,133,1.8998452503235188,13.916081428527832,0,0.0,7.32484997194277,2.97944543992478,1.2643963308211466,3.280859181509532,1.8701756464363584
alea-institute/kl3m-003-3.7b,bookmia.00.31,1984,122,1.9312328825727179,3.8609421253204346,0,0.0,1.9992110532920444,1.239208662143641,1.0019304968912173,1.3790993568142678,1.6412900211810344
alea-institute/kl3m-003-3.7b,bookmia.00.40,1984,128,1.9407842068083028,17.693464279174805,0,0.0,9.116657182754189,2.76759734971112,5.538594654510172,1.480327033184762,0.8173200535260028
alea-institute/kl3m-003-3.7b,bookmia.00.46,1984,132,2.1374889106388735,20.8288516998291,0,0.0,9.74454257804948,1.5449285836752615,1.04912429789866,2.756469928378674,0.9610261558514257
alea-institute/kl3m-003-3.7b,bookmia.00.48,1984,131,2.2688966465792673,18.942779541015625,0,0.0,8.348894855821204,2.291180396802105,1.204863300374949,0.9433462042440182,0.9856588236225784
alea-institute/kl3m-003-3.7b,bookmia.00.64,1984,143,1.8835443075144582,17.294532775878906,0,0.0,9.18190918412794,1.9243418184686387,2.061311517893501,0.9163397823325026,0.9532934251976988
alea-institute/kl3m-003-3.7b,bookmia.00.71,1984,137,1.992448177412543,12.041851043701172,0,0.0,6.0437461712751315,1.3835906667521112,2.1669654667820963,1.0253157519002218,1.1640726708046458
alea-institute/kl3m-003-3.7b,bookmia.01.00,a_game_of_thrones,130,2.247462781588323,16.54267120361328,0,0.0,7.360598510967231,1.3760913888697672,1.5541895044503329,1.056271033940009,2.0932178224117153
alea-institute/kl3m-003-3.7b,bookmia.01.01,a_game_of_thrones,139,1.9883189247410222,2.4741148892208003,24,0.17266187050359713,1.2443249714293458,1.247947645965196,2.606235872356373,1.46381960243752,1.7333501986316706
