k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.0866,13.95,,,
0.5,100,0,0,0.0,0.1549,5.9,,,
1,100,0,0,0.0,0.2483,3.36,,,
3,100,0,29.0,0.461,0.8176,0.97,,,
5,100,60.0,78.0,0.9955,0.998,0.41,,,
10,100,98.0,99.0,1.0,1.0,0.02,,,
20,100,100,100,1.0,1.0,0,,,
