scorer,scorer_b,n,draws_s,reward_s,cost_marginal_s,cost_raw_s,ratio_marginal,ratio_raw,proxy_ratio
Qwen2.5-0.5B-Instruct,0.494,1,17.923,0.496,7.487,19.935,1.074,1.111,0.23
Qwen2.5-0.5B-Instruct,0.494,2,24.669,0.543,14.524,26.728,2.083,1.49,0.46
Qwen2.5-0.5B-Instruct,0.494,4,38.66,0.687,28.649,40.863,4.109,2.277,0.92
Qwen2.5-0.5B-Instruct,0.494,8,65.676,0.921,56.846,68.113,8.152,3.796,1.841
Qwen2.5-0.5B-Instruct,0.494,16,121.008,1.434,113.284,123.959,16.246,6.908,3.682
Qwen2.5-0.5B-Instruct,0.494,64,458.017,4.217,451.615,463.75,64.766,25.844,14.728
Qwen2.5-7B-Instruct,7.6156,1,17.923,0.738,7.728,22.452,1.108,1.251,0.958
Qwen2.5-7B-Instruct,7.6156,2,24.669,1.054,15.035,29.515,2.156,1.645,1.915
Qwen2.5-7B-Instruct,7.6156,4,38.66,1.735,29.697,44.187,4.259,2.462,3.831
Qwen2.5-7B-Instruct,7.6156,8,65.676,3.038,58.963,72.506,8.456,4.041,7.661
Qwen2.5-7B-Instruct,7.6156,16,121.008,5.657,117.506,130.457,16.852,7.27,15.322
Qwen2.5-7B-Instruct,7.6156,64,458.017,21.489,468.886,483.297,67.243,26.933,61.289
