quantity,arm,value,lo95,hi95,n,reading,consistency,n_empty,level_empty
level,sel_n64,0.363,0.3365,0.39,500,,0.438,41,0.2073
level,sel_n1,0.2485,0.2275,0.2705,500,,0.458,64,0.2109
level,nonempty,0.362,0.3355,0.389,500,,0.434,0,
level,chat_k10,0.501,0.4795,0.5225,500,,0.426,0,
level,chat_anchor,0.238,0.216,0.2605,500,,0.504,2,0.0
level,winc_12.48,0.2995,0.278,0.3215,500,,0.422,0,
level,winc_24.95,0.338,0.316,0.3605,500,,0.444,0,
level,winc_40,0.397,0.374,0.42,500,,0.428,0,
level,winc_125,0.5045,0.4825,0.5265,500,,0.476,0,
level,winc_0,0.23,0.208,0.252,500,,0.518,8,0.1875
gain,sel_n64 - sel_n1,0.1145,0.088,0.1405,500,CONFIRMED,,,
gain,nonempty - sel_n1,0.1135,0.088,0.1395,500,CONFIRMED,,,
gain,chat_k10 - chat_anchor,0.263,0.2345,0.291,500,CONFIRMED,,,
gain,winc_12.48 - winc_0,0.0695,0.045,0.095,500,CONFIRMED,,,
gain,winc_24.95 - winc_0,0.108,0.0815,0.1345,500,CONFIRMED,,,
gain,winc_40 - winc_0,0.167,0.1395,0.1945,500,CONFIRMED,,,
gain,winc_125 - winc_0,0.2745,0.2455,0.303,500,CONFIRMED,,,
difference,sel_n64 - winc_125,-0.16,-0.1985,-0.122,500,REFUTED,,,
"difference, consistent pair",sel_n64 - winc_125,-0.0833,-0.1774,0.0171,117,UNRESOLVED,,,
"difference, consistent four",sel_n64 - winc_125,-0.2273,-0.3636,-0.0758,33,REFUTED,,,
difference,sel_n64 - winc_12.48,0.045,0.0095,0.081,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - winc_12.48,0.0167,-0.0571,0.0929,105,UNRESOLVED,,,
"difference, consistent four",sel_n64 - winc_12.48,-0.0526,-0.1316,0.0132,38,UNRESOLVED,,,
difference,sel_n64 - winc_24.95,0.0065,-0.0305,0.0435,500,UNRESOLVED,,,
"difference, consistent pair",sel_n64 - winc_24.95,0.0541,-0.0158,0.1239,111,UNRESOLVED,,,
"difference, consistent four",sel_n64 - winc_24.95,-0.0676,-0.1486,0.0135,37,UNRESOLVED,,,
difference,sel_n64 - winc_40,-0.0525,-0.0895,-0.015,500,REFUTED,,,
"difference, consistent pair",sel_n64 - winc_40,0.0118,-0.0825,0.1038,106,UNRESOLVED,,,
"difference, consistent four",sel_n64 - winc_40,-0.0735,-0.1912,0.0588,34,UNRESOLVED,,,
difference,sel_n64 - chat_k10,-0.1485,-0.186,-0.111,500,REFUTED,,,
"difference, consistent pair",sel_n64 - chat_k10,-0.1138,-0.2098,-0.0201,112,REFUTED,,,
"difference, consistent four",sel_n64 - chat_k10,-0.2703,-0.4189,-0.1081,37,REFUTED,,,
difference,nonempty - chat_k10,-0.1495,-0.1855,-0.112,500,REFUTED,,,
"difference, consistent pair",nonempty - chat_k10,-0.1068,-0.2023,-0.0091,110,REFUTED,,,
"difference, consistent four",nonempty - chat_k10,-0.2778,-0.4167,-0.1111,36,REFUTED,,,
