prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.2096,0.0,0.0,0.0988,0,0,0.0,1,0.0988,0.0,0.0988
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,1.0,0.7717,0.0,0.0,0.1146,0,0,0.0,2,0.1146,0.0,0.1146
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.4124,0.6127,0.0,0.0,0.0519,0,0,0.0,1,0.0519,0.0,0.0519
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.2843,0.3506,0.0,0.0,0.1217,0,0,0.0,2,0.1217,0.0,0.1217
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.6705,0.5417,0.0,0.0,0.1138,0,0,0.0,2,0.1138,0.0,0.1138
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,1.0,0.7259,0.0,0.0,0.1191,0,0,0.0,2,0.1191,0.0,0.1191
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.7451,0.6375,0.0,0.0,0.087,0,0,0.0,2,0.087,0.0,0.087
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,1.0,0.7094,0.0,0.0,0.0988,0,0,0.0,2,0.0988,0.0,0.0988
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.088,0.0,0.0,0.0583,0,0,0.0,1,0.0583,0.0,0.0583
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1736,0.0,0.0,0.1393,0,0,0.0,2,0.1393,0.0,0.1393
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,1.0,0.7361,0.0,0.0,0.1544,0,0,0.0,2,0.1544,0.0,0.1544
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.2232,0.0,0.0,0.0924,0,0,0.0,2,0.0924,0.0,0.0924
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,1.0,0.8254,0.0,0.0,0.1208,0,0,0.0,2,0.1208,0.0,0.1208
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1826,0.0,0.0,0.087,0,0,0.0,2,0.087,0.0,0.087
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.4095,0.4031,0.0,0.0,0.1465,0,0,0.0,2,0.1465,0.0,0.1465
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.4583,0.4078,0.0,0.0,0.1048,0,0,0.0,2,0.1048,0.0,0.1048
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0863,0.0,0.0,0.06,0,0,0.0,1,0.06,0.0,0.06
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.1942,0.2989,0.0,0.0,0.1538,0,0,0.0,2,0.1538,0.0,0.1538
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.5581,0.4362,0.0,0.0,0.0645,0,0,0.0,1,0.0645,0.0,0.0645
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1717,0.0,0.0,0.0894,0,0,0.0,2,0.0894,0.0,0.0894
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.2188,0.2823,0.0,0.0,0.0458,0,0,0.0,1,0.0458,0.0,0.0458
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,1.0,0.7729,0.0,0.0,0.123,0,0,0.0,2,0.123,0.0,0.123
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.297,0.0,0.0,0.1148,0,0,0.0,2,0.1148,0.0,0.1148
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.2772,0.2558,0.0,0.0,0.1098,0,0,0.0,1,0.1098,0.0,0.1098
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.3511,0.332,0.0,0.0,0.0976,0,0,0.0,2,0.0976,0.0,0.0976
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.3269,0.332,0.0,0.0,0.1004,0,0,0.0,1,0.1004,0.0,0.1004
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.9908,0.9954,0.0,0.0,0.102,0,0,0.0,1,0.102,0.0,0.102
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.1525,0.0,0.0,0.0924,0,0,0.0,1,0.0924,0.0,0.0924
