k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.327,4.13,,,
0.5,100,0,0,0.0,0.4512,1.61,,,
1,100,0,0,0.0006,0.5588,0.9,,,
3,100,9.0,45.0,0.9718,0.9917,0.48,,,
5,100,67.0,79.0,0.9983,0.9991,0.25,,,
10,100,97.0,99.0,0.9999,0.9999,0.03,,,
20,100,100,100,1.0,1.0,0,,,
