prompt_class,k,frac_of_steps,frac_of_spend
protected,0.1,0.5,0.78745
protected,0.1,0.55,0.84875
protected,0.1,0.6,0.90443
protected,0.1,0.65,0.95075
protected,0.1,0.7,0.98192
protected,0.1,0.75,0.99674
protected,0.1,0.8,0.99999
protected,0.1,0.85,1.0
protected,0.1,0.9,1.0
protected,0.1,0.95,1.0
protected,0.1,1.0,1.0
protected,0.15,0.05,0.14964
protected,0.15,0.1,0.21384
protected,0.15,0.15,0.27589
protected,0.15,0.2,0.33685
protected,0.15,0.25,0.39738
protected,0.15,0.3,0.4575
protected,0.15,0.35,0.51747
protected,0.15,0.4,0.57702
protected,0.15,0.45,0.63578
protected,0.15,0.5,0.69414
protected,0.15,0.55,0.75248
protected,0.15,0.6,0.81065
protected,0.15,0.65,0.86761
protected,0.15,0.7,0.92162
protected,0.15,0.75,0.96599
protected,0.15,0.8,0.99252
protected,0.15,0.85,0.99974
protected,0.15,0.9,1.0
protected,0.15,0.95,1.0
protected,0.15,1.0,1.0
protected,0.25,0.05,0.13907
protected,0.25,0.1,0.21105
protected,0.25,0.15,0.2727
protected,0.25,0.2,0.3312
protected,0.25,0.25,0.38873
protected,0.25,0.3,0.44529
protected,0.25,0.35,0.5007
protected,0.25,0.4,0.55526
protected,0.25,0.45,0.60922
protected,0.25,0.5,0.66209
protected,0.25,0.55,0.71438
protected,0.25,0.6,0.76622
protected,0.25,0.65,0.81752
protected,0.25,0.7,0.86799
protected,0.25,0.75,0.91653
protected,0.25,0.8,0.96008
protected,0.25,0.85,0.99022
protected,0.25,0.9,0.99969
protected,0.25,0.95,1.0
protected,0.25,1.0,1.0
protected,0.5,0.05,0.12824
protected,0.5,0.1,0.21178
protected,0.5,0.15,0.28106
protected,0.5,0.2,0.34269
protected,0.5,0.25,0.39978
protected,0.5,0.3,0.45416
protected,0.5,0.35,0.50717
protected,0.5,0.4,0.55941
protected,0.5,0.45,0.61122
protected,0.5,0.5,0.66257
protected,0.5,0.55,0.71313
protected,0.5,0.6,0.7625
protected,0.5,0.65,0.81026
protected,0.5,0.7,0.85568
protected,0.5,0.75,0.89789
protected,0.5,0.8,0.93593
protected,0.5,0.85,0.96819
protected,0.5,0.9,0.99166
protected,0.5,0.95,0.99991
protected,0.5,1.0,1.0
protected,1,0.05,0.1759
protected,1,0.1,0.28382
protected,1,0.15,0.37134
protected,1,0.2,0.44622
protected,1,0.25,0.51264
protected,1,0.3,0.57284
protected,1,0.35,0.62823
protected,1,0.4,0.67939
protected,1,0.45,0.72647
protected,1,0.5,0.76957
protected,1,0.55,0.80894
protected,1,0.6,0.84481
protected,1,0.65,0.87735
protected,1,0.7,0.90667
protected,1,0.75,0.93278
protected,1,0.8,0.95553
protected,1,0.85,0.9747
protected,1,0.9,0.98959
protected,1,0.95,0.99866
protected,1,1.0,1.0
protected,10,0.05,0.18274
protected,10,0.1,0.29494
protected,10,0.15,0.38474
protected,10,0.2,0.46129
protected,10,0.25,0.52837
protected,10,0.3,0.58834
protected,10,0.35,0.64249
protected,10,0.4,0.69155
protected,10,0.45,0.73624
protected,10,0.5,0.77689
protected,10,0.55,0.8139
protected,10,0.6,0.84751
protected,10,0.65,0.87797
protected,10,0.7,0.90542
protected,10,0.75,0.92992
protected,10,0.8,0.95145
protected,10,0.85,0.96996
protected,10,0.9,0.985
protected,10,0.95,0.99564
protected,10,1.0,1.0
protected,20,0.05,0.18333
protected,20,0.1,0.29561
protected,20,0.15,0.38548
protected,20,0.2,0.46205
protected,20,0.25,0.52917
protected,20,0.3,0.58914
protected,20,0.35,0.64326
protected,20,0.4,0.6923
protected,20,0.45,0.73695
protected,20,0.5,0.77756
protected,20,0.55,0.81454
protected,20,0.6,0.84815
protected,20,0.65,0.87861
protected,20,0.7,0.90604
protected,20,0.75,0.93051
protected,20,0.8,0.95199
protected,20,0.85,0.97039
