tokenizer,vocab,n_texts,chars,tokens,chars_per_token,seed20_chars,seed20_words,group
ku-nlp/gpt2-medium-japanese-char,6000,608,716816,586553,1.2221,20,1,fine
EleutherAI/polyglot-ko-1.3b,30003,608,716816,362153,1.9793,36.17,6.23,fine
skt/kogpt2-base-v2,51201,608,716816,333117,2.1518,35.85,1,fine
beomi/kykim-gpt3-kor-small_based_on_gpt2,42000,608,716816,303796,2.3595,48.05,9.43,fine
cyberagent/open-calm-1b,52000,608,716816,264361,2.7115,53.14,9.51,between
stanford-crfm/BioMedLM,28896,608,716816,205618,3.4862,67.48,12.08,coarse
llm-jp/llm-jp-1.3b-v1.0,50570,608,716816,205600,3.4865,70.27,12.52,coarse
bigcode/starcoder2-3b,49152,608,716816,196604,3.646,76.37,13.73,coarse
facebook/galactica-1.3b,50000,608,716816,191754,3.7382,77.52,13.89,coarse
TinyLlama/TinyLlama-1.1B-Chat-v1.0,32000,608,716816,190264,3.7675,73.79,13.28,coarse
elyza/ELYZA-japanese-Llama-2-7b,32000,608,716816,190264,3.7675,73.79,13.28,coarse
Rakuten/RakutenAI-7B,48000,608,716816,184637,3.8823,79.68,14.64,coarse
facebook/xglm-1.7B,256008,608,716816,183808,3.8998,80.11,14.41,coarse
01-ai/Yi-1.5-6B,63992,608,716816,182526,3.9272,80.42,14.47,coarse
llm-jp/llm-jp-3-1.8b,99574,608,716816,180315,3.9754,76.6,13.78,coarse
internlm/internlm2-1_8b,92544,608,716816,177572,4.0368,81.84,14.71,coarse
HuggingFaceTB/SmolLM2-1.7B,49152,608,716816,175191,4.0916,81.9,14.7,coarse
bigscience/bloom-1b7,250680,608,716816,174814,4.1004,82.12,14.78,coarse
openai-community/gpt2,50257,608,716816,174512,4.1075,83.1,14.94,coarse
EleutherAI/pythia-1.4b,50277,608,716816,174393,4.1103,82.86,14.89,coarse
stabilityai/stablelm-2-1_6b,100289,608,716816,171420,4.1816,87.66,15.8,coarse
