quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.101,0.0765,0.1245,500,0.099,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.051,0.025,0.076,500,0.092,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.05,0.0155,0.084,500,0.007,REVERSAL CONFIRMED
order consistency,sel_n64,0.308,,,500,,UNUSABLE
order consistency,sel_n1,0.322,,,500,,UNUSABLE
order consistency,metered_k10,0.37,,,500,,UNUSABLE
order consistency,anchor_k0,0.294,,,500,,UNUSABLE
