n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.4151,0.8128,67.93,0.553,78.0,52.0,82.0
8,1.2044,100,0.6151,0.8307,104.57,0.7325,98.0,83.0,99.0
64,3.1745,100,0.6902,0.8307,118.3,0.7981,96.0,94.0,98.0
256,4.5491,100,0.7093,0.8307,124.67,0.8112,95.0,94.0,97.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
