k,budget_K,mean_spend_nats,n_trajectories,n_judged,u_safe,u_decoder,utility_gain,lambda_star_nats,lambda_star_lo,lambda_star_hi,spend_over_lambda_star,spend_over_lambda_star_conservative
0.5,100.0,78.97,1500,180,0.344,0.3805,0.0365,0.00318,2e-05,0.04442,24842.6,1777.8
1.0,200.0,134.57,1500,180,0.344,0.3475,0.0035,3e-05,2e-05,0.02756,4536977.5,4883.5
3.0,600.0,165.0,1500,180,0.344,0.4385,0.0945,0.02087,0.00027,0.09037,7908.0,1825.9
5.0,1000.0,169.85,1500,180,0.344,0.4805,0.1365,0.04302,0.00353,0.13583,3948.2,1250.5
10.0,2000.0,171.28,1500,180,0.344,0.478,0.134,0.04148,0.00428,0.13121,4128.7,1305.4
20.0,4000.0,171.3,1500,180,0.344,0.5055,0.1615,0.05987,0.00896,0.15856,2861.2,1080.3
