model,setting,prefix_debt,run,k,mode,L,n_passages,nv_recall_mean,nv_recall_ge_0p8_pct,lcs_word_mean,spend_total_mean,max_query_Z_over_K,invariant_violations
llama-70B,B,1,hp1_B,-1.0,oracle,50,50,0.6049,18.0,52.34,0.0,0.0,0
llama-70B,B,0,hp1_B_nodebt,-1.0,oracle,50,50,0.6049,18.0,52.34,0.0,0.0,0
llama-70B,B,1,hp1_B,-1.0,single,0,50,0.3139,22.0,31.0,0.0,0.0,0
llama-70B,B,0,hp1_B_nodebt,-1.0,single,0,50,0.3139,22.0,31.0,0.0,0.0,0
llama-70B,B,1,hp1_B,0.0,oracle,50,50,0.0,0.0,2.26,0.0,0.0,0
llama-70B,B,0,hp1_B_nodebt,0.0,oracle,50,50,0.0,0.0,2.26,0.0,0.0,0
llama-70B,B,1,hp1_B,0.0,single,0,50,0.0,0.0,1.96,0.0,0.0,0
llama-70B,B,0,hp1_B_nodebt,0.0,single,0,50,0.0,0.0,1.96,0.0,0.0,0
llama-70B,B,1,hp1_B,1.0,oracle,50,50,0.0045,0.0,2.9,144.45,0.8625,0
llama-70B,B,0,hp1_B_nodebt,1.0,oracle,50,50,0.0,0.0,3.6,190.57,1.0,0
llama-70B,B,1,hp1_B,1.0,single,0,50,0.0,0.0,1.96,138.5,0.9619,0
llama-70B,B,0,hp1_B_nodebt,1.0,single,0,50,0.0,0.0,2.02,140.21,1.0,0
llama-70B,B,1,hp1_B,1.5,oracle,50,50,0.0,0.0,2.3,234.74,0.9047,0
llama-70B,B,1,hp1_B,1.5,single,0,50,0.0,0.0,1.96,216.76,0.9759,0
llama-70B,B,1,hp1_B,3.0,oracle,50,50,0.0155,0.0,6.38,460.99,0.9553,0
llama-70B,B,0,hp1_B_nodebt,3.0,oracle,50,50,0.1615,0.0,22.48,520.87,1.0,0
llama-70B,B,1,hp1_B,3.0,single,0,50,0.018,2.0,5.0,419.82,0.9743,0
llama-70B,B,0,hp1_B_nodebt,3.0,single,0,50,0.0379,0.0,6.78,458.31,1.0,0
llama-70B,B,1,hp1_B,5.0,oracle,50,50,0.106,0.0,15.02,541.89,0.804,0
llama-70B,B,0,hp1_B_nodebt,5.0,oracle,50,50,0.481,8.0,43.78,622.11,0.9925,0
llama-70B,B,1,hp1_B,5.0,single,0,50,0.0687,4.0,10.08,426.58,0.7535,0
llama-70B,B,0,hp1_B_nodebt,5.0,single,0,50,0.2219,14.0,23.72,531.46,0.756,0
llama-70B,B,1,hp1_B,10.0,oracle,50,50,0.2441,0.0,26.02,570.62,0.4805,0
llama-70B,B,0,hp1_B_nodebt,10.0,oracle,50,50,0.5964,18.0,51.6,629.06,0.4917,0
llama-70B,B,1,hp1_B,10.0,single,0,50,0.1308,6.0,15.04,465.93,0.3845,0
llama-70B,B,0,hp1_B_nodebt,10.0,single,0,50,0.3139,22.0,31.0,546.36,0.3783,0
llama-70B,B,1,hp1_B,20.0,oracle,50,50,0.5907,16.0,50.78,627.2,0.2458,0
llama-70B,B,1,hp1_B,20.0,single,0,50,0.3139,22.0,31.0,546.39,0.1892,0
memoriser-8B,A,1,comp8b_kl,-1.0,oracle,50,100,0.8074,64.0,107.35,0.0,0.0,0
memoriser-8B,A,0,prefix_ablation,-1.0,oracle,50,100,0.8074,64.0,107.35,0.0,0.0,0
memoriser-8B,A,1,comp8b_kl,-1.0,single,0,100,0.4921,29.0,81.34,0.0,0.0,0
memoriser-8B,A,0,prefix_ablation,-1.0,single,0,100,0.4921,29.0,81.34,0.0,0.0,0
memoriser-8B,A,1,comp8b_kl,0.0,oracle,50,100,0.0032,0.0,3.79,0.0,0.0,0
memoriser-8B,A,0,prefix_ablation,0.0,oracle,50,100,0.0032,0.0,3.79,0.0,0.0,0
memoriser-8B,A,1,comp8b_kl,0.0,single,0,100,0.0,0.0,1.73,0.0,0.0,0
memoriser-8B,A,0,prefix_ablation,0.0,single,0,100,0.0,0.0,1.73,0.0,0.0,0
memoriser-8B,A,0,prefix_ablation,1.0,oracle,50,100,0.0011,0.0,5.48,289.25,1.0,0
memoriser-8B,A,0,prefix_ablation,1.0,single,0,100,0.0,0.0,2.44,289.86,1.0,0
memoriser-8B,A,1,comp8b_kl,3.0,oracle,50,100,0.0965,0.0,18.19,585.57,0.917,0
memoriser-8B,A,0,prefix_ablation,3.0,oracle,50,100,0.3481,2.0,39.54,713.25,1.0,0
memoriser-8B,A,1,comp8b_kl,3.0,single,0,100,0.0116,0.0,4.57,575.81,0.9488,0
memoriser-8B,A,0,prefix_ablation,3.0,single,0,100,0.0791,3.0,15.67,628.99,0.9634,0
memoriser-8B,A,1,comp8b_kl,5.0,oracle,50,100,0.2301,0.0,28.49,670.32,0.8756,0
memoriser-8B,A,0,prefix_ablation,5.0,oracle,50,100,0.7197,40.0,86.71,836.47,0.9149,0
memoriser-8B,A,1,comp8b_kl,5.0,single,0,100,0.0925,5.0,19.26,624.52,0.5942,0
memoriser-8B,A,0,prefix_ablation,5.0,single,0,100,0.4028,23.0,67.37,740.28,0.71,0
memoriser-8B,A,1,comp8b_kl,10.0,oracle,50,100,0.4103,3.0,41.69,739.48,0.4621,0
memoriser-8B,A,0,prefix_ablation,10.0,oracle,50,100,0.801,63.0,106.25,864.35,0.5216,0
memoriser-8B,A,1,comp8b_kl,10.0,single,0,100,0.2005,10.0,35.61,673.97,0.3348,0
memoriser-8B,A,0,prefix_ablation,10.0,single,0,100,0.4759,28.0,78.63,761.27,0.355,0
memoriser-8B,A,1,comp8b_kl,20.0,oracle,50,100,0.7865,57.0,101.91,859.82,0.2581,0
memoriser-8B,A,1,comp8b_kl,20.0,single,0,100,0.4759,28.0,78.63,761.26,0.1775,0
