prompt_class,k,frac_of_steps,frac_of_spend
ordinary,0.5,0.05,0.20179
ordinary,0.5,0.1,0.30732
ordinary,0.5,0.15,0.3876
ordinary,0.5,0.2,0.45642
ordinary,0.5,0.25,0.51738
ordinary,0.5,0.3,0.57279
ordinary,0.5,0.35,0.62422
ordinary,0.5,0.4,0.67297
ordinary,0.5,0.45,0.71939
ordinary,0.5,0.5,0.76301
ordinary,0.5,0.55,0.80356
ordinary,0.5,0.6,0.84076
ordinary,0.5,0.65,0.87451
ordinary,0.5,0.7,0.90472
ordinary,0.5,0.75,0.93131
ordinary,0.5,0.8,0.95411
ordinary,0.5,0.85,0.97297
ordinary,0.5,0.9,0.98748
ordinary,0.5,0.95,0.99704
ordinary,0.5,1.0,1.0
ordinary,1,0.05,0.23331
ordinary,1,0.1,0.35437
ordinary,1,0.15,0.44464
ordinary,1,0.2,0.52039
ordinary,1,0.25,0.58589
ordinary,1,0.3,0.6436
ordinary,1,0.35,0.69499
ordinary,1,0.4,0.74096
ordinary,1,0.45,0.78205
ordinary,1,0.5,0.81881
ordinary,1,0.55,0.85173
ordinary,1,0.6,0.88111
ordinary,1,0.65,0.90716
ordinary,1,0.7,0.93004
ordinary,1,0.75,0.94984
ordinary,1,0.8,0.96654
ordinary,1,0.85,0.98015
ordinary,1,0.9,0.99051
ordinary,1,0.95,0.99736
ordinary,1,1.0,1.0
ordinary,20,0.05,0.205
ordinary,20,0.1,0.32478
ordinary,20,0.15,0.41857
ordinary,20,0.2,0.49728
ordinary,20,0.25,0.56556
ordinary,20,0.3,0.62576
ordinary,20,0.35,0.67932
ordinary,20,0.4,0.72731
ordinary,20,0.45,0.77032
ordinary,20,0.5,0.80882
ordinary,20,0.55,0.84332
ordinary,20,0.6,0.87413
ordinary,20,0.65,0.90153
ordinary,20,0.7,0.92561
ordinary,20,0.75,0.94638
ordinary,20,0.8,0.96393
ordinary,20,0.85,0.97823
ordinary,20,0.9,0.9892
ordinary,20,0.95,0.9967
ordinary,20,1.0,1.0
ordinary,3,0.05,0.20581
ordinary,3,0.1,0.3251
ordinary,3,0.15,0.41865
ordinary,3,0.2,0.49718
ordinary,3,0.25,0.56531
ordinary,3,0.3,0.62534
ordinary,3,0.35,0.67876
ordinary,3,0.4,0.72667
ordinary,3,0.45,0.76964
ordinary,3,0.5,0.80813
ordinary,3,0.55,0.84263
ordinary,3,0.6,0.87346
ordinary,3,0.65,0.9009
ordinary,3,0.7,0.92505
ordinary,3,0.75,0.94593
ordinary,3,0.8,0.96359
ordinary,3,0.85,0.97799
ordinary,3,0.9,0.98906
ordinary,3,0.95,0.99661
ordinary,3,1.0,1.0
