n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.2722,0.3946,55.61,0.4368,81.0,51.0,88.0
8,1.2044,100,0.3517,0.4145,71.31,0.5199,99.0,85.0,99.0
64,3.1745,100,0.3551,0.4145,71.56,0.5242,100.0,87.0,100.0
256,4.5491,100,0.3518,0.4145,69.32,0.5186,99.0,86.0,99.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
