opponent,strength,d3_judgeB,lo_judgeB,hi_judgeB,verdict_judgeB,d3_judgeC,lo_judgeC,hi_judgeC,verdict_judgeC,shift
Qwen/Qwen2.5-0.5B-Instruct,0.7035,0.049,0.0135,0.085,REVERSAL CONFIRMED,-0.009,-0.0555,0.0375,REVERSAL UNRESOLVED,-0.058
Qwen/Qwen2.5-1.5B-Instruct,0.773,0.0195,-0.0165,0.0555,REVERSAL UNRESOLVED,-0.0015,-0.0455,0.0425,REVERSAL UNRESOLVED,-0.021
Qwen/Qwen2.5-3B-Instruct,0.825,-0.02,-0.054,0.014,REVERSAL UNRESOLVED,-0.024,-0.0555,0.0085,REVERSAL UNRESOLVED,-0.004
