prompt_id,u_sel_n64,u_sel_n1,u_metered_k10,u_anchor_k0,gain_sel,gain_metered,diff
bookmia100unseen.55.018,0.75,0.25,0.5,0.25,0.5,0.25,0.25
bookmia100unseen.56.000,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.56.001,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.56.002,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.56.003,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.56.004,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.56.005,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.56.006,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.56.007,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.56.008,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.56.009,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.56.010,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.56.011,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.56.012,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.56.013,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.56.014,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.56.015,1.0,0.5,0.5,0.5,0.5,0.0,0.5
bookmia100unseen.56.016,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.56.017,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.56.018,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.58.000,0.75,0.25,0.5,0.25,0.5,0.25,0.25
bookmia100unseen.58.001,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.58.002,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
