judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.446,0.413,0.48,0.0,0.0,0.0,95.4,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.457,0.423,0.49,0.011,-0.025,0.046,77.7,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.494,0.46,0.526,0.048,0.012,0.083,69.8,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.509,0.474,0.542,0.063,0.024,0.102,83.4,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.538,0.505,0.571,0.092,0.052,0.132,91.6,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.557,0.521,0.591,0.111,0.066,0.155,98.1,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.597,0.564,0.632,0.151,0.105,0.197,109.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.412,0.37,0.456,0.0,0.0,0.0,95.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.524,0.483,0.568,0.112,0.077,0.147,77.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.595,0.55,0.64,0.183,0.139,0.224,69.8,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.605,0.563,0.646,0.193,0.15,0.235,83.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.626,0.585,0.669,0.214,0.169,0.26,91.6,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.656,0.612,0.697,0.244,0.196,0.289,98.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.702,0.661,0.741,0.29,0.244,0.339,109.0,1.0
