model,id,novel,n_tok,s_rate,k_crit,binding_token,binding_frac,ratio_skip0,ratio_skip1,ratio_skip5,ratio_skip10,ratio_skip20
alea-institute/kl3m-003-3.7b,bookmia.00.11,1984,114,0.7702041188624894,4.782020568847656,0,0.0,6.2087704437496365,1.7391659593486684,0.9686248595082341,1.4074072382145315,3.7990268527139226
alea-institute/kl3m-003-3.7b,bookmia.00.26,1984,133,0.9255656347729964,13.916081428527832,0,0.0,15.035218363461475,1.5289259494350844,1.157673734262443,1.5489728032593424,1.919390795026789
alea-institute/kl3m-003-3.7b,bookmia.00.31,1984,122,0.9349619510867919,3.8609421253204346,0,0.0,4.129517913357338,1.041343295576742,1.054651546366926,2.848631458337668,1.2266788207385035
alea-institute/kl3m-003-3.7b,bookmia.00.40,1984,128,0.8566219947291819,4.423366069793701,0,0.0,5.163731607419365,2.6126407272663568,4.182792838041537,2.786512811580355,0.8309200100005152
alea-institute/kl3m-003-3.7b,bookmia.00.46,1984,132,0.9043222314241388,3.47147528330485,0,0.0,3.838759197413431,2.434432919730715,0.9447904143687264,3.2576462789929783,1.9968898766713268
alea-institute/kl3m-003-3.7b,bookmia.00.48,1984,131,1.1258540178101666,3.788555908203125,0,0.0,3.3650507510485466,1.6518816297233265,1.0428131877920732,0.9545580684938989,0.9977598166729982
alea-institute/kl3m-003-3.7b,bookmia.00.64,1984,143,0.9866184467932876,4.323633193969727,0,0.0,4.382274837879245,3.0467154676618655,1.9738328988327944,0.9248749889488634,1.0267953215731889
alea-institute/kl3m-003-3.7b,bookmia.00.71,1984,137,1.0072523996513594,12.041851043701172,0,0.0,11.955147535880005,0.9905037861218815,1.0716197837553798,1.0473703007037287,1.0751649441456919
alea-institute/kl3m-003-3.7b,bookmia.01.00,a_game_of_thrones,130,1.1457653396332628,5.514223734537761,0,0.0,4.812699026401651,2.024442139394946,1.8291614936992378,1.130136141208541,3.547100743592623
alea-institute/kl3m-003-3.7b,bookmia.01.01,a_game_of_thrones,139,1.0013635164456598,2.3012421131134033,0,0.0,2.298108604237613,1.2928378490574692,1.724990649329398,1.949241430085453,3.2264148840392903
alea-institute/kl3m-003-3.7b,bookmia.01.02,a_game_of_thrones,126,1.3606561630076002,7.478207588195801,0,0.0,5.496030364986507,1.565528211528717,0.9674848045607065,1.0425519908900223,1.0582943812570382
alea-institute/kl3m-003-3.7b,bookmia.01.03,a_game_of_thrones,126,1.245478924788743,6.060356140136719,0,0.0,4.865884134622889,1.0302628186947633,1.496423859004131,1.45854074261808,1.5301087192701757
alea-institute/kl3m-003-3.7b,bookmia.01.04,a_game_of_thrones,133,1.2563818276313872,1.6197836079126733,31,0.23308270676691728,1.2892446963885134,1.2993356252728518,1.3802830040964504,1.8522224995636305,4.393739195685132
