arm,control,n_prompts,u_control,u_arm,gain,divergence_kind,divergence_nats,lambda_star_nats,over_frontier
"selection, n=64",u_sel_n1,500,0.4535,0.555,0.1015,KL bound,3.1745,0.089757,35.4
"metered decoder, k=10",u_anchor_k0,500,0.4385,0.4895,0.051,measured spend,171.28,0.023195,7384.4
