pair,mode,thresh,n_passages,k_grid,onset_point,onset_lo95,onset_hi95,boot_no_crossing_pct,s_x,ratio_point,ratio_lo95,ratio_hi95
TinyComma-1.8B + mem. Llama-3.1-8B,single,0.01,100,1.5 2 2.6 3.2 3.8 4.5,2.8726,2.7171,3.4512,0.1,3.239,0.8869,0.8389,1.0655
Comma-7B + mem. Comma-7B,single,0.01,100,1.5 2 2.4 2.8 3.2 4,2.134,2.0007,2.9247,0.0,2.393,0.8918,0.836,1.2222
Pleias-350M + mem. Pleias-350M,single,0.01,100,2.2 2.6 2.8 2.9 3 3.1 3.2 3.3 3.6 4.2,3.1798,3.1246,3.9031,6.9,3.554,0.8947,0.8792,1.0982
Pleias-1.2B + mem. Pleias-1.2B,single,0.01,100,2 2.4 2.6 2.7 2.8 2.9 3 3.2 3.6,2.8192,2.5325,3.081,0.0,3.2094,0.8784,0.7891,0.96
Pleias-350M + mem. Pleias-350M (n=458),single,0.01,458,2.9 3 3.1 3.2 3.3 3.4 3.6 3.8 4.2,3.2712,3.0676,3.8318,0.1,3.5543500000000003,0.9203,0.8631,1.0781
KL3M-520M + mem. KL3M-520M,single,0.01,100,1.6 1.8 2 2.1 2.2 2.3 2.4 2.6 2.8 3 3.4,2.5432,2.4541,3.0031,0.0,2.4147499999999997,1.0532,1.0163,1.2436
Phi-3.5-mini + mem. Phi-3.5-mini,single,0.01,100,1.8 2.1 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.2 3.5 4,2.6276,2.2659,3.0792,0.0,2.8374,0.9261,0.7986,1.0852
KL3M-1.7B + mem. KL3M-1.7B,single,0.01,100,1 1.2 1.3 1.4 1.5 1.6 1.8 2 2.2 2.3 2.4 2.5 2.6 2.8 3 3.2 3.5 4 5,2.5779,2.5208,3.3171,0.0,2.2112,1.1659,1.14,1.5001
KL3M-520M (Gutenberg),single,0.01,100,1.2 1.6 1.9 2.1 2.3 2.5 2.7 2.9 3.2 3.6 4.2,2.6078,2.5425,3.3669,0.0,2.3665,1.102,1.0744,1.4227
Pleias-1.2B (Gutenberg),single,0.01,100,1.2 1.6 1.9 2.1 2.3 2.5 2.7 2.9 3.2 3.6 4.2,2.513,2.3875,3.2832,0.0,2.8087,0.8947,0.85,1.1689
Phi-3.5-mini (Gutenberg),single,0.01,100,1.2 1.6 1.9 2.1 2.3 2.5 2.7 2.9 3.2 3.6 4.2,2.7033,2.2529,3.7958,0.5,2.8488,0.9489,0.7908,1.3324
