judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.366,0.333,0.399,0.0,0.0,0.0,123.8,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.362,0.327,0.397,-0.004,-0.033,0.026,123.0,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.406,0.373,0.439,0.04,0.002,0.078,119.1,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.438,0.405,0.472,0.072,0.031,0.11,109.8,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.442,0.41,0.475,0.076,0.035,0.115,98.3,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.439,0.408,0.469,0.073,0.033,0.114,90.9,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.44,0.41,0.47,0.074,0.032,0.116,87.1,0.8571
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.268,0.228,0.307,0.0,0.0,0.0,123.8,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.332,0.292,0.373,0.064,0.034,0.095,123.0,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.363,0.319,0.403,0.095,0.058,0.133,119.1,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.36,0.318,0.402,0.092,0.049,0.135,109.8,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.384,0.344,0.428,0.116,0.069,0.159,98.3,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.392,0.35,0.434,0.124,0.075,0.169,90.9,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.411,0.369,0.453,0.143,0.096,0.189,87.1,0.9643
