prompt_id,arm,novel,blocked_steps,nv_recall,lcs_word,rouge_l
bookmia.00.11,tokenswap,1984,57,0.0,2,0.126
bookmia.00.26,tokenswap,1984,51,0.0,2,0.1029
bookmia.00.31,tokenswap,1984,66,0.0,2,0.1265
bookmia.00.40,tokenswap,1984,56,0.0,2,0.1429
bookmia.00.46,tokenswap,1984,51,0.0,5,0.1842
bookmia.00.48,tokenswap,1984,62,0.0,2,0.1164
bookmia.00.64,tokenswap,1984,54,0.0,2,0.1148
bookmia.00.71,tokenswap,1984,58,0.0,8,0.1838
bookmia.01.00,tokenswap,a_game_of_thrones,51,0.0,2,0.1466
bookmia.01.01,tokenswap,a_game_of_thrones,42,0.0,3,0.1833
bookmia.01.02,tokenswap,a_game_of_thrones,53,0.0,2,0.1393
bookmia.01.03,tokenswap,a_game_of_thrones,42,0.0,1,0.1166
bookmia.01.04,tokenswap,a_game_of_thrones,60,0.0,3,0.1551
bookmia.01.07,tokenswap,a_game_of_thrones,52,0.0,2,0.1114
bookmia.01.10,tokenswap,a_game_of_thrones,64,0.0,1,0.1153
bookmia.01.11,tokenswap,a_game_of_thrones,56,0.0,4,0.1173
bookmia.01.12,tokenswap,a_game_of_thrones,43,0.0,2,0.1008
bookmia.01.14,tokenswap,a_game_of_thrones,55,0.0,5,0.1416
bookmia.01.20,tokenswap,a_game_of_thrones,52,0.0,2,0.1383
bookmia.01.22,tokenswap,a_game_of_thrones,52,0.0,2,0.1278
bookmia.01.23,tokenswap,a_game_of_thrones,52,0.0,2,0.1488
bookmia.01.26,tokenswap,a_game_of_thrones,53,0.0,3,0.1311
bookmia.01.27,tokenswap,a_game_of_thrones,51,0.0,2,0.1084
bookmia.01.31,tokenswap,a_game_of_thrones,65,0.0,2,0.1146
bookmia.01.32,tokenswap,a_game_of_thrones,61,0.0,2,0.1469
bookmia.01.33,tokenswap,a_game_of_thrones,53,0.0,13,0.1829
bookmia.01.36,tokenswap,a_game_of_thrones,48,0.0,2,0.1301
bookmia.01.37,tokenswap,a_game_of_thrones,53,0.0,2,0.145
bookmia.01.39,tokenswap,a_game_of_thrones,41,0.0,3,0.1277
bookmia.01.41,tokenswap,a_game_of_thrones,52,0.0,2,0.1385
bookmia.01.42,tokenswap,a_game_of_thrones,57,0.0,2,0.137
bookmia.01.43,tokenswap,a_game_of_thrones,58,0.0,2,0.1047
bookmia.01.44,tokenswap,a_game_of_thrones,58,0.0,3,0.1319
bookmia.01.46,tokenswap,a_game_of_thrones,56,0.0,2,0.1404
bookmia.01.49,tokenswap,a_game_of_thrones,47,0.0,2,0.1141
bookmia.01.51,tokenswap,a_game_of_thrones,62,0.0,4,0.1639
bookmia.01.52,tokenswap,a_game_of_thrones,37,0.0,9,0.1753
bookmia.01.58,tokenswap,a_game_of_thrones,69,0.0,2,0.107
bookmia.01.59,tokenswap,a_game_of_thrones,52,0.0,2,0.1359
bookmia.01.60,tokenswap,a_game_of_thrones,57,0.0,2,0.1281
bookmia.01.62,tokenswap,a_game_of_thrones,44,0.0,4,0.1441
bookmia.01.69,tokenswap,a_game_of_thrones,62,0.0,2,0.1374
bookmia.01.71,tokenswap,a_game_of_thrones,65,0.0,2,0.1368
bookmia.01.73,tokenswap,a_game_of_thrones,58,0.0,3,0.1247
bookmia.01.74,tokenswap,a_game_of_thrones,72,0.0,3,0.1226
bookmia.01.75,tokenswap,a_game_of_thrones,53,0.0,2,0.137
bookmia.01.76,tokenswap,a_game_of_thrones,54,0.0,4,0.1391
bookmia.01.77,tokenswap,a_game_of_thrones,64,0.0,2,0.1467
bookmia.01.78,tokenswap,a_game_of_thrones,43,0.0,7,0.1538
bookmia.01.79,tokenswap,a_game_of_thrones,54,0.0,5,0.1534
bookmia.01.81,tokenswap,a_game_of_thrones,60,0.0,2,0.1024
bookmia.01.82,tokenswap,a_game_of_thrones,52,0.0,3,0.1359
bookmia.01.83,tokenswap,a_game_of_thrones,65,0.0,4,0.1167
bookmia.01.87,tokenswap,a_game_of_thrones,71,0.0,2,0.1649
bookmia.01.88,tokenswap,a_game_of_thrones,59,0.0,3,0.12
bookmia.01.89,tokenswap,a_game_of_thrones,52,0.0,4,0.1311
bookmia.01.90,tokenswap,a_game_of_thrones,52,0.0,2,0.1228
bookmia.01.97,tokenswap,a_game_of_thrones,60,0.0,2,0.1207
bookmia.07.02,tokenswap,casino_royale,62,0.0,2,0.1359
bookmia.07.03,tokenswap,casino_royale,59,0.0,2,0.129
bookmia.07.04,tokenswap,casino_royale,75,0.0,2,0.1267
bookmia.07.05,tokenswap,casino_royale,56,0.0,2,0.129
bookmia.07.06,tokenswap,casino_royale,48,0.0,4,0.1298
bookmia.07.07,tokenswap,casino_royale,60,0.0,2,0.1034
bookmia.07.08,tokenswap,casino_royale,49,0.0,3,0.1617
bookmia.07.09,tokenswap,casino_royale,62,0.0,2,0.1623
bookmia.07.15,tokenswap,casino_royale,64,0.0,2,0.1195
bookmia.07.16,tokenswap,casino_royale,70,0.0,2,0.1179
bookmia.07.17,tokenswap,casino_royale,49,0.0,2,0.1205
bookmia.07.20,tokenswap,casino_royale,57,0.0,2,0.1247
bookmia.07.24,tokenswap,casino_royale,69,0.0,3,0.1267
bookmia.07.25,tokenswap,casino_royale,45,0.0,2,0.1083
bookmia.07.26,tokenswap,casino_royale,58,0.0,2,0.1311
bookmia.07.28,tokenswap,casino_royale,52,0.0,2,0.1467
bookmia.07.29,tokenswap,casino_royale,57,0.0,4,0.1366
bookmia.07.30,tokenswap,casino_royale,63,0.0,6,0.1837
bookmia.07.31,tokenswap,casino_royale,43,0.0,3,0.142
bookmia.07.32,tokenswap,casino_royale,63,0.0,2,0.1525
bookmia.07.37,tokenswap,casino_royale,69,0.0,3,0.1538
bookmia.07.40,tokenswap,casino_royale,52,0.0,2,0.1127
bookmia.07.41,tokenswap,casino_royale,55,0.0,2,0.1289
bookmia.07.43,tokenswap,casino_royale,59,0.0,2,0.1393
bookmia.07.44,tokenswap,casino_royale,52,0.0,4,0.1685
bookmia.07.47,tokenswap,casino_royale,63,0.0,2,0.0997
bookmia.07.49,tokenswap,casino_royale,50,0.0,2,0.1843
bookmia.07.53,tokenswap,casino_royale,56,0.0,3,0.1351
bookmia.07.54,tokenswap,casino_royale,61,0.0,3,0.1272
bookmia.07.55,tokenswap,casino_royale,56,0.0,2,0.1505
bookmia.07.56,tokenswap,casino_royale,49,0.0,4,0.1593
bookmia.07.57,tokenswap,casino_royale,56,0.0,2,0.133
bookmia.07.59,tokenswap,casino_royale,60,0.0,3,0.1873
bookmia.07.61,tokenswap,casino_royale,48,0.0,5,0.1967
bookmia.07.62,tokenswap,casino_royale,47,0.0,4,0.1148
bookmia.07.63,tokenswap,casino_royale,59,0.0,3,0.1611
bookmia.07.66,tokenswap,casino_royale,55,0.0,4,0.1766
bookmia.07.70,tokenswap,casino_royale,53,0.0,2,0.0994
bookmia.07.72,tokenswap,casino_royale,59,0.0,2,0.1299
bookmia.07.73,tokenswap,casino_royale,47,0.0,2,0.1322
bookmia.07.77,tokenswap,casino_royale,51,0.0,4,0.1368
bookmia.07.80,tokenswap,casino_royale,42,0.0,2,0.1416
