band,quantity,value,lo95,hi95,lo90,hi90,n,reading,predicted,verdict
G0,generation arms covering all 500 prompts,14,,,,,14,PASS,,
G1,trajectories over their certified budget (window or output),0,,,,,7000,PASS,,
G0,leakage runs covering the 100 passages,18,,,,,18,PASS,,
G1,leakage queries over their certified budget,0,,,,,18,PASS,,
P6,plain: recall < 0.01 at every W <= 40 and >= 0.01 at W = 125,0.000 / 0.106,,,,,100,right,,
descriptive,"plain: windowed onset, smallest grid W with mean recall >= 0.01",80.0,,,,,100,"memoriser alone 0.4952, anchor 0.0000",,
P6,chat: recall < 0.01 at every W <= 40 and >= 0.01 at W = 125,0.000 / 0.063,,,,,100,right,,
descriptive,"chat: windowed onset, smallest grid W with mean recall >= 0.01",125.0,,,,,100,"memoriser alone 0.2193, anchor 0.0000",,
G2,committed arms' per-prompt levels reproduced in the plain judge-B pass,500,,,,,500,PASS,,
P1,sel_n64 - win_4.16 (plain_B),0.09,0.058,0.122,,,500,CONFIRMED,CONFIRMED,right
P1,sel_n64 - frontpw_4.16 (plain_B),0.0785,0.0445,0.1115,,,500,CONFIRMED,CONFIRMED,right
P2,sel_n64 - win_24.95 (plain_B),0.064,0.0315,0.0975,,,500,CONFIRMED,CONFIRMED,right
P2,sel_n64 - win_40 (plain_B),0.064,0.0295,0.099,,,500,CONFIRMED,CONFIRMED,right
P2,sel_n64 - win_125 (plain_B),0.022,-0.0145,0.0585,,,500,UNRESOLVED,CONFIRMED,wrong
P3,blk10n64 - pw_83.18 (plain_B),0.142,0.1085,0.1755,,,500,CONFIRMED,CONFIRMED,right
P3,blk25n64 - pw_33.27 (plain_B),0.133,0.1015,0.164,,,500,CONFIRMED,CONFIRMED,right
P4,blk10n64 - win_24.95 (plain_B),0.1205,0.0855,0.155,,,500,CONFIRMED,CONFIRMED,right
P4,blk25n64 - win_12.48 (plain_B),0.1265,0.0915,0.162,,,500,CONFIRMED,CONFIRMED,right
