k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
10.0,chained,20,kl,bookmia.01.27,a_game_of_thrones,261,14,560.718,70.274,200.0,0.3514,594.491,0.3522,0,12.597,290,14,14,0,0.0,12
10.0,chained,20,kl,bookmia.01.31,a_game_of_thrones,258,13,627.124,88.809,200.0,0.444,621.431,0.4448,0,12.287,261,13,13,0,0.1487,29
10.0,chained,20,kl,bookmia.01.32,a_game_of_thrones,260,13,404.287,42.54,200.0,0.2127,419.837,0.222,0,10.104,261,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.01.33,a_game_of_thrones,271,14,579.62,85.022,200.0,0.4251,580.463,0.4261,0,13.861,289,14,14,0,0.0,11
10.0,chained,20,kl,bookmia.01.36,a_game_of_thrones,262,14,487.013,53.989,200.0,0.2699,536.923,0.3544,0,11.634,290,14,14,0,0.0,16
10.0,chained,20,kl,bookmia.01.37,a_game_of_thrones,260,13,176.754,65.917,200.0,0.3296,157.192,0.3337,0,13.396,261,13,13,0,0.0,3
10.0,chained,20,kl,bookmia.01.39,a_game_of_thrones,259,13,447.253,54.526,200.0,0.2726,396.808,0.2209,0,10.533,261,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.01.41,a_game_of_thrones,258,13,272.571,48.207,200.0,0.241,221.352,0.2411,0,10.42,261,13,13,0,0.0,5
10.0,chained,20,kl,bookmia.01.42,a_game_of_thrones,251,13,541.546,64.541,200.0,0.3227,541.923,0.3084,0,12.355,261,13,13,0,0.0,11
10.0,chained,20,kl,bookmia.01.43,a_game_of_thrones,296,15,545.312,54.575,200.0,0.2729,533.945,0.3295,0,11.346,310,15,15,0,0.0,2
10.0,chained,20,kl,bookmia.01.44,a_game_of_thrones,274,14,560.213,79.74,200.0,0.3987,577.459,0.4009,0,10.191,291,14,14,0,0.0,2
10.0,chained,20,kl,bookmia.01.46,a_game_of_thrones,266,14,718.7,87.21,200.0,0.4361,724.987,0.4517,0,13.275,291,14,14,0,0.2172,43
10.0,chained,20,kl,bookmia.01.49,a_game_of_thrones,282,15,354.511,50.698,200.0,0.2535,303.517,0.2366,0,13.602,310,15,15,0,0.0,2
10.0,chained,20,kl,bookmia.01.51,a_game_of_thrones,265,14,147.233,58.697,200.0,0.2935,130.366,0.2384,0,12.338,290,14,14,0,0.0,2
10.0,chained,20,kl,bookmia.01.52,a_game_of_thrones,288,15,494.243,53.8,200.0,0.269,546.516,0.3154,0,11.384,311,15,15,0,0.0,2
10.0,chained,20,kl,bookmia.01.58,a_game_of_thrones,255,13,545.64,60.53,200.0,0.3026,457.355,0.3271,0,12.558,268,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.01.59,a_game_of_thrones,275,14,551.442,53.835,200.0,0.2692,515.432,0.2734,0,10.983,290,14,14,0,0.0,2
10.0,chained,20,kl,bookmia.01.60,a_game_of_thrones,273,14,203.822,69.711,200.0,0.3486,198.189,0.3965,0,12.182,295,14,14,0,0.0,1
10.0,chained,20,kl,bookmia.01.62,a_game_of_thrones,261,14,470.527,50.745,200.0,0.2537,465.242,0.2862,0,11.719,290,14,14,0,0.0,2
10.0,chained,20,kl,bookmia.01.69,a_game_of_thrones,262,14,618.926,71.732,200.0,0.3587,623.475,0.3856,0,11.269,290,14,14,0,0.0,2
10.0,chained,20,kl,bookmia.01.71,a_game_of_thrones,269,14,48.962,47.929,200.0,0.2396,37.261,0.1819,0,10.791,307,14,14,0,0.0,1
10.0,chained,20,kl,bookmia.01.73,a_game_of_thrones,258,13,589.247,74.911,200.0,0.3746,581.087,0.3758,0,12.369,270,13,13,0,0.0,18
10.0,chained,20,kl,bookmia.01.74,a_game_of_thrones,262,14,632.31,53.806,200.0,0.269,632.63,0.2954,0,11.089,290,14,14,0,0.0,4
10.0,chained,20,kl,bookmia.01.75,a_game_of_thrones,259,13,434.83,42.484,200.0,0.2124,408.71,0.2195,0,10.793,269,13,13,0,0.0,3
10.0,chained,20,kl,bookmia.01.76,a_game_of_thrones,261,14,498.363,63.484,200.0,0.3174,510.75,0.3225,0,10.992,291,14,14,0,0.1206,17
