pair,n_passages,s_safe,s_risky,onset,ci_lo,ci_hi,ratio,ratio_lo,ratio_hi,boot_no_crossing_pct,k_grid
Comma-7B + mem. Comma-7B,100,2.393,0.179,2.134,2.001,2.925,0.8916,0.8359,1.2219,0.0,1.5 2 2.4 2.8 3.2 4
Pleias-1.2B + mem. Pleias-1.2B,100,3.209,0.365,2.819,2.533,3.081,0.8784,0.7891,0.96,0.0,2 2.4 2.6 2.7 2.8 2.9 3 3.2 3.6
TinyComma-1.8B + mem. Llama-3.1-8B,100,3.239,0.194,2.873,2.717,3.451,0.887,0.839,1.0656,0.1,1.5 2 2.6 3.2 3.8 4.5
Pleias-350M + mem. Pleias-350M,458,3.554,0.326,3.271,3.068,3.832,0.9203,0.8631,1.0781,0.1,2.9 3 3.1 3.2 3.3 3.4 3.6 3.8 4.2
ALL 4 PAIRS,758,2.393,3.554,2.134,3.271,,0.8943,0.8784,0.9203,0.0157,sd in the last column
