source,work,kind,n_tokens,S,S_per_tok,nv_recall,lcs_word
gutenberg,Middlemarch,anchor_greedy_recall,100,,,0.0,0
gutenberg,Middlemarch,anchor_sampled_recall,100,,,0.0,0
gutenberg,Heart of Darkness,opening,100,363.68,3.6368,,
gutenberg,Heart of Darkness,deep,100,421.4,4.214,,
gutenberg,Heart of Darkness,anchor_greedy_recall,100,,,0.0,3
gutenberg,Heart of Darkness,anchor_sampled_recall,100,,,0.0,2
gutenberg,Ulysses,opening,100,364.4,3.644,,
gutenberg,Ulysses,deep,100,449.22,4.4922,,
gutenberg,Ulysses,anchor_greedy_recall,100,,,0.0,2
gutenberg,Ulysses,anchor_sampled_recall,100,,,0.0,2
gutenberg,The Secret Garden,opening,100,288.78,2.8878,,
gutenberg,The Secret Garden,deep,100,319.1,3.191,,
gutenberg,The Secret Garden,anchor_greedy_recall,100,,,0.0,2
gutenberg,The Secret Garden,anchor_sampled_recall,100,,,0.0,2
gutenberg,Black Beauty,opening,100,254.0,2.54,,
gutenberg,Black Beauty,deep,100,320.32,3.2032,,
gutenberg,Black Beauty,anchor_greedy_recall,100,,,0.0,2
gutenberg,Black Beauty,anchor_sampled_recall,100,,,0.0,2
gutenberg,Twenty Thousand Leagues under the Sea,opening,100,422.52,4.2252,,
gutenberg,Twenty Thousand Leagues under the Sea,deep,100,353.11,3.5311,,
gutenberg,Twenty Thousand Leagues under the Sea,anchor_greedy_recall,100,,,0.0,2
gutenberg,Twenty Thousand Leagues under the Sea,anchor_sampled_recall,100,,,0.0,2
gutenberg,War and Peace,opening,100,297.94,2.9794,,
gutenberg,War and Peace,deep,100,300.77,3.0077,,
gutenberg,War and Peace,anchor_greedy_recall,100,,,0.0,2
gutenberg,War and Peace,anchor_sampled_recall,100,,,0.0,1
copybench_opening,harry_potter_and_the_sorcerer's_stone,famous_first_sentence,32,88.26,2.758,,
copybench_passage,harry_potter_and_the_sorcerer's_stone,passage_same_length,32,107.6,3.3627,,
copybench_opening,1984,famous_first_sentence,16,51.05,3.1907,,
copybench_passage,1984,passage_same_length,16,71.8,4.4875,,
copybench_opening,fahrenheit_451,famous_first_sentence,7,34.16,4.8796,,
copybench_passage,fahrenheit_451,passage_same_length,7,44.22,6.3178,,
copybench_opening,hitchhiker's_guide_to_the_galaxy,famous_first_sentence,31,126.55,4.0823,,
copybench_passage,hitchhiker's_guide_to_the_galaxy,passage_same_length,31,144.69,4.6675,,
copybench_opening,the_hunger_games,famous_first_sentence,14,42.91,3.065,,
copybench_passage,the_hunger_games,passage_same_length,14,95.55,6.8252,,
copybench_opening,dune,famous_first_sentence,40,171.99,4.2996,,
copybench_passage,dune,passage_same_length,40,174.42,4.3606,,
copybench_opening,to_kill_a_mockingbird,famous_first_sentence,19,75.03,3.9488,,
copybench_passage,to_kill_a_mockingbird,passage_same_length,19,93.29,4.9101,,
copybench_opening,casino_royale,famous_first_sentence,18,79.21,4.4005,,
copybench_passage,casino_royale,passage_same_length,18,75.65,4.203,,
copybench_opening,a_game_of_thrones,famous_first_sentence,18,90.45,5.0252,,
copybench_passage,a_game_of_thrones,passage_same_length,18,85.86,4.7701,,
copybench_opening,lord_of_the_flies,famous_first_sentence,25,97.78,3.9111,,
copybench_passage,lord_of_the_flies,passage_same_length,25,98.89,3.9558,,
copybench_opening,fifty_shades_of_grey,famous_first_sentence,11,55.0,5.0,,
copybench_passage,fifty_shades_of_grey,passage_same_length,11,57.98,5.271,,
copybench_opening,the_da_vinci_code,famous_first_sentence,22,99.74,4.5338,,
copybench_passage,the_da_vinci_code,passage_same_length,22,120.92,5.4964,,
copybench_opening,things_fall_apart,famous_first_sentence,15,67.91,4.5272,,
copybench_passage,things_fall_apart,passage_same_length,15,130.03,8.669,,
copybench_opening,the_silmarillion,famous_first_sentence,50,152.82,3.0564,,
copybench_passage,the_silmarillion,passage_same_length,50,205.92,4.1183,,
copybench_opening,their_eyes_were_watching_god,famous_first_sentence,13,60.43,4.6486,,
copybench_passage,their_eyes_were_watching_god,passage_same_length,13,96.89,7.4528,,
copybench_opening,five_on_a_treasure_island,famous_first_sentence,11,53.52,4.8652,,
copybench_passage,five_on_a_treasure_island,passage_same_length,11,51.59,4.6896,,
