quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.11,0.085,0.1345,500,0.106,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.051,0.0255,0.0765,500,0.091,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.059,0.0235,0.094,500,0.015,REVERSAL CONFIRMED
"D4 blk10n64_planner gain, order-averaged",blk10n64_planner,0.077,0.054,0.1005,500,0.083,SURVIVES
"D5 blk10n64_planner minus selection, paired",blk10n64_planner - sel_n64,-0.033,-0.065,0.0005,500,,TIE
order consistency,sel_n64,0.28,,,500,,UNUSABLE
order consistency,sel_n1,0.296,,,500,,UNUSABLE
order consistency,metered_k10,0.374,,,500,,UNUSABLE
order consistency,anchor_k0,0.304,,,500,,UNUSABLE
order consistency,blk10n64_planner,0.332,,,500,,UNUSABLE
