k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.1529,10.65,,,
0.5,100,0,0,0.0,0.2666,6.09,,,
1,100,0,0,0.0008,0.4104,3.72,,,
3,100,3.0,15.0,0.8414,0.9495,1.19,,,
5,100,39.0,65.0,0.9912,0.9961,0.48,,,
10,100,86.0,95.0,0.9994,0.9995,0.14,,,
20,100,99.0,100,1.0,1.0,0.01,,,
