run,k,L,n_passages,nv_recall_old,nv_recall_new,diff,lo95,hi95,lcs_word_old,lcs_word_new
nm/hp1_greedy,-1.0,50,50,0.5267,0.5267,0.0,0.0,0.0,59.38,59.38
nm/hp1_greedy,0.0,50,50,0.0,0.0,0.0,0.0,0.0,1.92,1.92
nm/hp1_B,-1.0,50,50,0.2639,0.2696,0.0057,0.0,0.0145,30.08,30.16
nm/hp1_B,0.0,50,50,0.0,0.0,0.0,0.0,0.0,2.04,2.04
nm/hp1_B,1.0,50,50,0.0,0.0,0.0,0.0,0.0,2.2,2.22
nm/hp1_B,1.5,50,50,0.0,0.0,0.0,0.0,0.0,2.12,2.1
nm/hp1_B,3.0,50,50,0.0,0.0,0.0,0.0,0.0,2.48,2.48
nm/hp1_B,5.0,50,50,0.0321,0.0288,-0.0033,-0.0099,0.0,5.92,5.56
nm/hp1_B,10.0,50,50,0.0774,0.0777,0.0003,0.0,0.0009,10.76,10.78
nm/hp1_B,20.0,50,50,0.2493,0.2549,0.0057,0.0,0.0145,28.7,28.78
nm/hp1_A,-1.0,50,50,0.238,0.2383,0.0003,0.0,0.0009,30.0,30.08
nm/hp1_A,0.0,50,50,0.0,0.0,0.0,0.0,0.0,1.84,1.84
nm/hp1_A,1.0,50,50,0.0,0.0,0.0,0.0,0.0,1.76,1.76
nm/hp1_A,1.5,50,50,0.0,0.0,0.0,0.0,0.0,1.94,1.94
nm/hp1_A,3.0,50,50,0.0,0.0,0.0,0.0,0.0,2.06,2.08
nm/hp1_A,5.0,50,50,0.0207,0.0207,0.0,0.0,0.0,5.12,5.08
nm/hp1_A,10.0,50,50,0.0511,0.0511,0.0,0.0,0.0,7.9,7.88
nm/hp1_A,20.0,50,50,0.238,0.2383,0.0003,0.0,0.0009,30.0,30.08
nm/1984_greedy,-1.0,50,8,0.5125,0.5125,0.0,0.0,0.0,70.25,70.25
nm/1984_greedy,0.0,50,8,0.0,0.0,0.0,0.0,0.0,2.25,2.25
nm/1984_B,-1.0,50,8,0.376,0.3778,0.0018,0.0,0.0055,50.38,50.38
nm/1984_B,0.0,50,8,0.0,0.0,0.0,0.0,0.0,2.12,2.12
nm/1984_B,1.0,50,8,0.0,0.0,0.0,0.0,0.0,1.75,1.75
nm/1984_B,1.5,50,8,0.0,0.0,0.0,0.0,0.0,2.5,2.5
nm/1984_B,3.0,50,8,0.0521,0.0521,0.0,0.0,0.0,5.75,5.75
nm/1984_B,5.0,50,8,0.0529,0.0529,0.0,0.0,0.0,6.12,6.12
nm/1984_B,10.0,50,8,0.1235,0.1244,0.0009,0.0,0.0027,14.75,14.75
nm/1984_B,20.0,50,8,0.376,0.3778,0.0018,0.0,0.0055,50.38,50.38
nm/1984_A,-1.0,50,8,0.4883,0.4883,0.0,0.0,0.0,61.0,61.0
nm/1984_A,0.0,50,8,0.0,0.0,0.0,0.0,0.0,1.88,1.88
nm/1984_A,1.0,50,8,0.0,0.0,0.0,0.0,0.0,1.88,1.88
nm/1984_A,1.5,50,8,0.0,0.0,0.0,0.0,0.0,2.12,2.12
nm/1984_A,3.0,50,8,0.0532,0.0532,0.0,0.0,0.0,5.75,5.75
nm/1984_A,5.0,50,8,0.1008,0.1008,0.0,0.0,0.0,10.0,10.0
nm/1984_A,10.0,50,8,0.1749,0.1749,0.0,0.0,0.0,20.75,20.75
nm/1984_A,20.0,50,8,0.4883,0.4883,0.0,0.0,0.0,61.0,61.0
