prompt_class,k,budget_K,n_trajectories,beta_binding_frac,forced_safe_frac,active_frac,imitation_rate_nats_per_token,realised_rate_nats_per_token,prop3_lower_bound_nats,spend_nats,spend_over_cap,top1pct_of_steps_share_of_spend,frac_of_steps_for_90pct_of_spend,median_cum_spend_vs_step_slope,median_cum_spend_vs_step_r2
ordinary,0.5,100.0,500,0.28023,0.0625,0.21773,0.4153,0.4406,62.67,88.12,0.8812,0.0594,0.6475,0.4929,0.9975
ordinary,1,200.0,500,0.06215,0.05011,0.01204,0.561,0.5637,110.06,112.73,0.5637,0.0698,0.6074,0.5735,0.991
ordinary,3,600.0,500,0.00315,0.00218,0.00097,0.6157,0.616,122.98,123.2,0.2053,0.0627,0.6384,0.6014,0.9908
ordinary,20,4000.0,500,0.00047,0.00047,0.0,0.6174,0.6172,123.44,123.44,0.0309,0.0624,0.6372,0.6008,0.991
