pair,tokenizer,n_passages,tokens,chars,tokens_per_char,chars_per_token,s_nats_per_token,s_nats_per_char,onset_nats_per_token,onset_nats_per_char,ratio_token_units,ratio_char_units
TinyComma-1.8B + memorised Llama-3.1-8B,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,100,26042,109456,0.2379,4.203,3.2386,0.7705,2.8727,0.6835,0.887,0.887
Comma-7B + memorised Comma-7B,common-pile/comma-v0.1-2t,100,30303,109942,0.2756,3.628,2.3935,0.6597,2.134,0.5882,0.8916,0.8916
Pleias-350M + mem. Pleias-350M,PleIAs/Pleias-350m-Preview,100,27209,110105,0.2471,4.047,3.5544,0.8783,3.1796,0.7857,0.8946,0.8946
Pleias-1.2B + mem. Pleias-1.2B,PleIAs/Pleias-1.2b-Preview,100,27109,109688,0.2471,4.046,3.2094,0.7932,2.819,0.6967,0.8784,0.8784
KL3M-1.7B + mem. KL3M-1.7B,alea-institute/kl3m-003-1.7b,100,58045,113471,0.5115,1.955,2.2112,1.1311,2.578,1.3188,1.1659,1.1659
KL3M-520M + mem. KL3M-520M,alea-institute/kl3m-002-520m,100,58045,113471,0.5115,1.955,2.4147,1.2352,2.5429,1.3008,1.0531,1.0531
Phi-3.5-mini + mem. Phi-3.5-mini,microsoft/Phi-3.5-mini-instruct,100,28874,110051,0.2624,3.811,2.8374,0.7444,2.6277,0.6894,0.9261,0.9261
open-calm-1b + mem. open-calm-1b,output/phase5/anchor_opencalm1b,100,40998,112497,0.3644,2.744,3.3628,1.2255,3.4524,1.2582,1.0266,1.0266
open-calm-3b + mem. open-calm-3b,output/phase5/anchor_opencalm3b,100,40998,112497,0.3644,2.744,3.3792,1.2315,3.357,1.2234,0.9934,0.9934
