opponent,tag,generator,n_judged,n_served,empty_frac,mean_words,strength,d3,d3_lo95,d3_hi95,verdict,d3_normalised,rho,exact_p,l1,l2,rho_normalised,exact_p_normalised,l4
Qwen/Qwen2.5-0.5B-Instruct,qwen05b,blocklist_decode,805,805,0.0,121.3764,0.775155,-0.0814,-0.1019,-0.0606,REVERSAL REFUTED,-0.362027,0.9,0.083333,REFUTED,TASK TYPE SURVIVES,-0.8,0.133333,CONSISTENT
Qwen/Qwen2.5-1.5B-Instruct,qwen15b,blocklist_decode,805,805,0.0,116.8211,0.834472,-0.0736,-0.0925,-0.0547,REVERSAL REFUTED,-0.444638,0.9,0.083333,REFUTED,TASK TYPE SURVIVES,-0.8,0.133333,CONSISTENT
meta-llama/Meta-Llama-3.1-8B-Instruct,llama8b,blocklist_decode,805,805,0.0,124.4696,0.851863,-0.0593,-0.0773,-0.041,REVERSAL REFUTED,-0.400305,0.9,0.083333,REFUTED,TASK TYPE SURVIVES,-0.8,0.133333,CONSISTENT
Qwen/Qwen2.5-3B-Instruct,qwen3b,blocklist_decode,805,805,0.0,129.7106,0.86118,-0.0689,-0.0863,-0.0516,REVERSAL REFUTED,-0.496326,0.9,0.083333,REFUTED,TASK TYPE SURVIVES,-0.8,0.133333,CONSISTENT
Qwen/Qwen2.5-14B-Instruct,qwen14b,blocklist_decode,805,805,0.0,128.7093,0.880745,-0.0584,-0.0755,-0.0407,REVERSAL REFUTED,-0.489707,0.9,0.083333,REFUTED,TASK TYPE SURVIVES,-0.8,0.133333,CONSISTENT
