n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,50,0.0,0.0,1.76,0.1036,0.0,0.0,0.0
-1,,50,0.4142,1.0,,0.4189,56.0,36.0,62.0
