arm,prompt_id,n_facts,n_supported,precision,abstained
ab_k0.1,fact_00003_Fernando da Costa Novaes,13,0,0.0,0
ab_k0.1,fact_00006_David Galloway (writer),9,0,0.0,0
ab_k0.1,fact_00007_Cheyenne Brando,18,0,0.0,0
ab_k0.1,fact_00012_Braulio Lara,14,0,0.0,0
ab_k0.1,fact_00015_Amr Shabana,11,0,0.0,0
ab_k0.1,fact_00017_Abdulqawi Yusuf,15,3,0.2,0
ab_k0.1,fact_00025_Carlos P. Romulo,0,0,,1
ab_k0.1,fact_00027_Arthur Ewert,6,0,0.0,0
ab_k0.1,fact_00032_Flavio Méndez Santiago,15,0,0.0,0
ab_k0.1,fact_00039_Chris Duffield,11,1,0.090909,0
ab_k0.1,fact_00040_Daniil Medvedev,22,0,0.0,0
ab_k0.1,fact_00043_Alexander Vovin,13,4,0.307692,0
ab_k0.1,fact_00044_Cobhams Asuquo,2,0,0.0,0
ab_k0.1,fact_00045_David Bogue,7,0,0.0,0
ab_k0.1,fact_00048_Don Beard,0,0,,1
ab_k0.1,fact_00053_Andriy Yarmolenko,9,0,0.0,0
ab_k0.1,fact_00058_Danny Faure,9,0,0.0,0
ab_k0.1,fact_00063_Ayman al-Zawahiri,10,4,0.4,0
ab_k0.1,fact_00064_Diego Suarez (garden designer),9,1,0.111111,0
ab_k0.1,fact_00066_Daniel Alexander Cameron,11,0,0.0,0
ab_k0.1,fact_00075_Antonio Leviste,0,0,,1
ab_k0.1,fact_00078_Chi Pu,0,0,,1
ab_k0.1,"fact_00080_Felipe (footballer, born 1977)",30,1,0.033333,0
ab_k0.1,fact_00084_Alfred Hitchcock,16,6,0.375,0
ab_k0.1,fact_00085_Dascha Polanco,10,0,0.0,0
ab_k0.1,fact_00086_Amelia Earhart,0,0,,1
ab_k0.1,fact_00087_Chris John (boxer),13,3,0.230769,0
ab_k0.1,fact_00088_Blair Tugman,11,0,0.0,0
ab_k0.1,fact_00093_David Oyite-Ojok,3,0,0.0,0
ab_k0.1,fact_00097_Chris Cuomo,1,0,0.0,0
ab_k0.1,fact_00098_Adnan Sami,0,0,,1
ab_k0.1,fact_00108_Bhuma Nagi Reddy,7,1,0.142857,0
ab_k0.1,fact_00109_Charmion King,14,0,0.0,0
ab_k0.1,fact_00110_Andreea Marin,0,0,,1
ab_k0.1,fact_00114_Ahn Jae-hyun,11,1,0.090909,0
ab_k0.1,fact_00116_Bobo Baldé,11,0,0.0,0
ab_k0.1,fact_00118_Chacho Gaytán,12,0,0.0,0
ab_k0.1,fact_00119_Bastian Schweinsteiger,17,4,0.235294,0
