quantity,arm,value,lo95,hi95,n,reading,consistency,n_empty,level_empty
level,sel_n64,0.641,0.605,0.677,500,,0.73,97,0.7655
level,sel_n16,0.596,0.559,0.632,500,,0.716,167,0.738
level,sel_n4,0.5255,0.487,0.5635,500,,0.752,144,0.7483
level,sel_n1,0.4295,0.3915,0.4675,500,,0.762,65,0.7692
level,inst,0.582,0.546,0.618,500,,0.704,183,0.75
level,anchor_k0,0.3895,0.3525,0.4275,500,,0.766,61,0.7377
level,kl_20.8,0.39,0.352,0.4275,500,,0.756,61,0.7459
level,kl_0.1,0.352,0.3185,0.386,500,,0.684,61,0.7459
level,kl_0.5,0.353,0.321,0.385,500,,0.626,61,0.7377
level,kl_10,0.499,0.497,0.5,500,,0.926,0,
level,pw_4.16,0.3965,0.36,0.4335,500,,0.75,61,0.7377
level,pw_20.8,0.3815,0.345,0.4185,500,,0.754,60,0.7417
level,front_4.16,0.382,0.3455,0.419,500,,0.754,5,0.6
level,win_4.16,0.334,0.3,0.3685,500,,0.722,5,0.6
gain,sel_n64 - sel_n1,0.2115,0.177,0.2465,500,CONFIRMED,,,
gain,sel_n16 - sel_n1,0.1665,0.133,0.2,500,CONFIRMED,,,
gain,sel_n4 - sel_n1,0.096,0.067,0.126,500,CONFIRMED,,,
gain,inst - sel_n1,0.1525,0.1185,0.1875,500,CONFIRMED,,,
gain,kl_20.8 - anchor_k0,0.0005,-0.0145,0.0165,500,UNRESOLVED,,,
gain,kl_0.1 - anchor_k0,-0.0375,-0.062,-0.0135,500,REFUTED,,,
gain,kl_0.5 - anchor_k0,-0.0365,-0.0675,-0.0055,500,REFUTED,,,
gain,kl_10 - anchor_k0,0.1095,0.072,0.1465,500,CONFIRMED,,,
gain,pw_4.16 - anchor_k0,0.007,-0.0095,0.024,500,UNRESOLVED,,,
gain,pw_20.8 - anchor_k0,-0.008,-0.0325,0.0155,500,UNRESOLVED,,,
gain,front_4.16 - anchor_k0,-0.0075,-0.039,0.024,500,UNRESOLVED,,,
gain,win_4.16 - anchor_k0,-0.0555,-0.0885,-0.0225,500,REFUTED,,,
difference,inst - pw_20.8,0.1605,0.1185,0.2025,500,CONFIRMED,,,
"difference, consistent pair",inst - pw_20.8,0.1533,0.0949,0.2135,274,CONFIRMED,,,
"difference, consistent four",inst - pw_20.8,0.1415,0.0802,0.2028,212,CONFIRMED,,,
difference,inst - kl_20.8,0.152,0.1145,0.19,500,CONFIRMED,,,
"difference, consistent pair",inst - kl_20.8,0.1484,0.0989,0.1996,283,CONFIRMED,,,
"difference, consistent four",inst - kl_20.8,0.1342,0.0823,0.1905,231,CONFIRMED,,,
difference,sel_n64 - pw_4.16,0.2045,0.1655,0.243,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - pw_4.16,0.1918,0.1407,0.2428,279,CONFIRMED,,,
"difference, consistent four",sel_n64 - pw_4.16,0.1636,0.1091,0.2227,220,CONFIRMED,,,
difference,sel_n64 - front_4.16,0.219,0.1715,0.2665,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - front_4.16,0.1727,0.1091,0.24,275,CONFIRMED,,,
"difference, consistent four",sel_n64 - front_4.16,0.1641,0.0911,0.2422,192,CONFIRMED,,,
difference,sel_n64 - win_4.16,0.267,0.219,0.316,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - win_4.16,0.2326,0.1647,0.3023,258,CONFIRMED,,,
"difference, consistent four",sel_n64 - win_4.16,0.2155,0.1354,0.2983,181,CONFIRMED,,,
difference,sel_n64 - kl_0.1,0.249,0.208,0.289,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - kl_0.1,0.2361,0.1743,0.2968,251,CONFIRMED,,,
"difference, consistent four",sel_n64 - kl_0.1,0.1953,0.1302,0.263,192,CONFIRMED,,,
difference,sel_n64 - kl_0.5,0.248,0.2035,0.2925,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - kl_0.5,0.2064,0.1436,0.2691,235,CONFIRMED,,,
"difference, consistent four",sel_n64 - kl_0.5,0.1599,0.0901,0.2297,172,CONFIRMED,,,
difference,inst - sel_n64,-0.059,-0.0895,-0.0295,500,REFUTED,,,
"difference, consistent pair",inst - sel_n64,-0.0502,-0.0824,-0.0179,279,REFUTED,,,
"difference, consistent four",inst - sel_n64,-0.048,-0.083,-0.0131,229,REFUTED,,,
difference,sel_n64 - kl_10,0.102,0.053,0.1505,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - kl_10,0.1765,0.1118,0.239,340,CONFIRMED,,,
"difference, consistent four",sel_n64 - kl_10,0.1227,0.0409,0.2045,220,CONFIRMED,,,
