k,mode,L,constraint,n_passages,n_queries_mean,nv_recall_mean,nv_recall_median,nv_recall_ge_0p8_pct,lcs_word_mean,lcs_word_max,spend_total_mean,max_query_Z_over_K,R_total_mean,max_query_R_over_K,attempts_per_window,windows_matched_pct,invariant_violations
-1.0,single,0,kl,100,1,0.7189,0.9728,60.0,138.11,222,0.0,0,688.5,0,1.0,0.0,0
-1.0,oracle,20,kl,100,15.6,0.9435,0.9735,92.0,151.33,219,0.0,0,730.47,0,1.0,84.5,0
-1.0,oracle,50,kl,100,6.5,0.9088,0.9762,84.0,153.31,219,0.0,0,739.62,0,1.0,69.1,0
-1.0,chained,20,kl,100,15.6,0.6713,0.8856,56.0,125.91,219,0.0,0,628.51,0,1.0,0.0,0
-1.0,chained,50,kl,100,6.5,0.7001,0.9575,56.0,135.21,222,0.0,0,658.75,0,1.0,0.0,0
0.0,single,0,kl,100,1,0.0,0.0,0.0,1.93,4,0.0,0,0.0,0,1.0,0.0,0
0.0,oracle,20,kl,100,15.6,0.0,0.0,0.0,2.98,8,0.0,0,0.0,0,1.0,0.0,0
0.0,oracle,50,kl,100,6.5,0.0,0.0,0.0,2.98,10,0.0,0,0.0,0,1.0,0.0,0
0.0,chained,20,kl,100,15.6,0.0,0.0,0.0,1.49,4,0.0,0,0.0,0,1.0,0.0,0
0.0,chained,50,kl,100,6.5,0.0,0.0,0.0,1.69,4,0.0,0,0.0,0,1.0,0.0,0
0.15,single,0,kl,100,1,0.0,0.0,0.0,1.99,4,34.48,0.8634,34.42,1.1744,1.0,0.0,0
0.15,oracle,20,kl,100,15.6,0.0,0.0,0.0,2.98,8,0.0,0,0.0,0,1.0,0.0,0
0.15,oracle,50,kl,100,6.5,0.0,0.0,0.0,2.98,10,0.01,0.0563,0.01,0.0755,1.0,0.0,0
0.15,chained,20,kl,100,15.6,0.0,0.0,0.0,1.49,4,0.0,0,0.0,0,1.0,0.0,0
0.15,chained,50,kl,100,6.5,0.0,0.0,0.0,1.68,4,0.03,0.0571,0.06,0.2561,1.0,0.0,0
0.5,single,0,kl,100,1,0.0,0.0,0.0,2.15,4,149.76,0.959,149.01,1.2299,1.0,0.0,0
0.5,oracle,20,kl,100,15.6,0.0,0.0,0.0,3,8,2.69,0.2814,2.85,0.7192,1.0,0.0,0
0.5,oracle,50,kl,100,6.5,0.001,0.0,0.0,3.78,20,89.49,0.7172,90.47,1.28,1.0,0.0,0
0.5,chained,20,kl,100,15.6,0.0,0.0,0.0,1.57,4,6.34,0.2948,5.79,1.0052,1.0,0.0,0
0.5,chained,50,kl,100,6.5,0.0,0.0,0.0,1.94,4,65.46,0.7171,60.74,1.1818,1.0,0.0,0
1.0,single,0,kl,100,1,0.0,0.0,0.0,2.34,7,312.71,0.9783,312.06,1.084,1.0,0.0,0
1.0,oracle,20,kl,100,15.6,0.0,0.0,0.0,3.41,9,126.35,0.6452,124.99,1.0595,1.0,0.0,0
1.0,oracle,50,kl,100,6.5,0.0014,0.0,0.0,4.32,27,242.31,0.8559,239.39,1.2943,1.0,0.0,0
1.0,chained,20,kl,100,15.6,0.0,0.0,0.0,1.82,4,78.31,0.6446,71.18,1.1462,1.0,0.0,0
1.0,chained,50,kl,100,6.5,0.0,0.0,0.0,2.2,5,200.29,0.8583,195.73,1.1954,1.0,0.0,0
3.0,single,0,kl,100,1,0.0478,0.0,4.0,11.75,210,429.52,0.6808,429.83,0.6796,1.0,0.0,0
3.0,oracle,20,kl,100,15.6,0.0147,0.0,0.0,11.27,19,398.39,0.8347,397.39,0.9546,1.0,2.7,0
3.0,oracle,50,kl,100,6.5,0.153,0.1404,0.0,22.21,36,463.86,0.9074,466.31,0.9443,1.0,1.8,0
3.0,chained,20,kl,100,15.6,0.0024,0.0,0.0,2.97,16,294.43,0.8253,291.02,0.9527,1.0,0.0,0
3.0,chained,50,kl,100,6.5,0.0082,0.0,0.0,3.97,37,368.6,0.7277,365.78,0.7809,1.0,0.0,0
5.0,single,0,kl,100,1,0.1967,0.0,16.0,39.28,214,490.3,0.5048,489.95,0.5048,1.0,0.0,0
5.0,oracle,20,kl,100,15.6,0.1046,0.1033,0.0,17.61,51,491.77,0.79,491.29,0.8191,1.0,13.6,0
5.0,oracle,50,kl,100,6.5,0.3139,0.3061,0.0,33.96,98,537.87,0.7228,537.93,0.7244,1.0,11.8,0
5.0,chained,20,kl,100,15.6,0.0104,0.0,0.0,5.16,28,342.11,0.7392,337.16,0.7597,1.0,0.0,0
5.0,chained,50,kl,100,6.5,0.0341,0.0,0.0,9.28,75,389.14,0.6384,390.22,0.6475,1.0,0.0,0
10.0,single,0,kl,100,1,0.5216,0.6596,44.0,101.19,222,618.04,0.2635,617.51,0.2667,1.0,0.0,0
10.0,oracle,20,kl,100,15.6,0.3656,0.3923,1.0,37.26,100,587.64,0.4429,586.06,0.4463,1.0,36.6,0
10.0,oracle,50,kl,100,6.5,0.5602,0.5836,13.0,60.08,187,625.5,0.3698,624.87,0.3715,1.0,32.6,0
10.0,chained,20,kl,100,15.6,0.0857,0.0,0.0,17.84,87,413.2,0.4429,410.93,0.4463,1.0,0.0,0
10.0,chained,50,kl,100,6.5,0.2089,0.1465,3.0,37.6,203,472.16,0.3822,471.1,0.3848,1.0,0.0,0
20.0,single,0,kl,100,1,0.7189,0.9728,60.0,138.11,222,689.52,0.132,688.5,0.1334,1.0,0.0,0
20.0,oracle,20,kl,100,15.6,0.9407,0.9681,92.0,148.93,219,729.91,0.2283,729.05,0.2286,1.0,84.2,0
20.0,oracle,50,kl,100,6.5,0.9044,0.9557,84.0,151.94,219,738.35,0.1928,738.41,0.196,1.0,68.6,0
20.0,chained,20,kl,100,15.6,0.6619,0.8528,54.0,123.93,219,626.87,0.2284,625.32,0.2286,1.0,0.0,0
20.0,chained,50,kl,100,6.5,0.7001,0.9575,56.0,134.83,222,658.85,0.1929,658.7,0.1933,1.0,0.0,0
