k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.0809,22.79,,,
0.5,100,0,0,0.0,0.1724,11.53,,,
1,100,0,0,0.0,0.3,5.6,,,
3,100,0,8.0,0.6045,0.88,1.39,,,
5,100,36.0,60.0,0.989,0.9941,0.63,,,
10,100,95.0,99.0,0.9998,0.9998,0.05,,,
20,100,100,100,1.0,1.0,0,,,
