model,id,novel,n_tok,s_rate,k_crit,binding_token,binding_frac,ratio_skip0,ratio_skip1,ratio_skip5,ratio_skip10,ratio_skip20
common-pile/comma-v0.1-2t,bookmia.00.11,1984,65,0.5286412686786045,15.827496528625488,0,0.0,29.939956387037302,1.0930498526993881,0.9365251839674259,1.1412275825109754,1.6018410675173258
common-pile/comma-v0.1-2t,bookmia.00.26,1984,67,0.5995498570647304,3.2697269439697267,0,0.0,5.453636433136053,1.2147642426175376,0.8967363574096479,1.0827753222498422,1.5978920336939944
common-pile/comma-v0.1-2t,bookmia.00.31,1984,65,0.561237537630094,2.0995583534240723,0,0.0,3.7409442751989803,1.339345566207597,1.4171095276459589,1.1738148875580452,3.935152600437258
common-pile/comma-v0.1-2t,bookmia.00.40,1984,68,0.532197919504324,3.719489097595215,0,0.0,6.988920777930614,2.852752617174806,3.369794670332131,0.871292296326723,0.8453023550144756
common-pile/comma-v0.1-2t,bookmia.00.46,1984,68,0.5578138085593659,6.3052825927734375,0,0.0,11.303561324625027,1.194405198089047,1.0468848704281735,0.9325160621166828,1.2128185927118023
common-pile/comma-v0.1-2t,bookmia.00.48,1984,72,0.6206744202019322,5.587144215901692,0,0.0,9.001731075181015,0.915015800222119,1.454042356411715,0.9223061868265685,1.152953241087437
common-pile/comma-v0.1-2t,bookmia.00.64,1984,72,0.5414164149209043,2.9531543254852295,0,0.0,5.454497211571719,3.3037685574145645,4.233413477323634,1.1458823884993132,0.9762884851983527
common-pile/comma-v0.1-2t,bookmia.00.71,1984,77,0.5692235680592929,5.010080973307292,0,0.0,8.801604948278284,0.9773772025314491,1.1904089111979468,1.0831029243776664,2.4056382058632786
common-pile/comma-v0.1-2t,bookmia.01.00,a_game_of_thrones,75,0.4918329055907545,4.531812349955241,0,0.0,9.214130039778352,1.7522727930439896,2.4191721591939395,4.5249303539005075,1.3548196419622909
common-pile/comma-v0.1-2t,bookmia.01.01,a_game_of_thrones,74,0.5300350097150393,0.94929533520058,15,0.20270270270270271,1.791004967220837,1.8070491034472054,3.4252036465082316,2.418665094133092,0.9877245312204419
common-pile/comma-v0.1-2t,bookmia.01.02,a_game_of_thrones,71,0.9655319182500596,16.966793060302734,0,0.0,17.572482835216398,0.9445313819036155,1.0777383390404454,1.3848372422198998,1.088787258325928
common-pile/comma-v0.1-2t,bookmia.01.03,a_game_of_thrones,66,0.7863647144301394,5.124216079711914,0,0.0,6.5163352140301924,0.9594777708344342,0.9666325273513857,0.9938847886474805,2.2568735482398963
common-pile/comma-v0.1-2t,bookmia.01.04,a_game_of_thrones,79,0.7697066070446602,1.6380807445777856,14,0.17721518987341772,2.128188493622662,2.1654786052415917,2.9655215177718746,3.99093608652044,1.2563674585970477
common-pile/comma-v0.1-2t,bookmia.01.07,a_game_of_thrones,75,0.7401873903851734,15.33285903930664,0,0.0,20.71483416020886,1.5886328791796978,0.9230533267823087,2.4087391343960625,0.9832631601090687
common-pile/comma-v0.1-2t,bookmia.01.10,a_game_of_thrones,80,0.8030707138061728,15.299534797668457,0,0.0,19.051292164740943,1.6910428771267512,1.4384923731869024,3.8422523983035988,1.5515020240730657
common-pile/comma-v0.1-2t,bookmia.01.11,a_game_of_thrones,77,0.6269471727964733,3.784742593765259,0,0.0,6.036780701767205,1.0493663824450372,2.2069743210794166,1.1447076543478043,2.7699082751680772
common-pile/comma-v0.1-2t,bookmia.01.12,a_game_of_thrones,98,0.7900737648942657,4.034715970357259,0,0.0,5.106758570697786,1.0595680382467008,2.405390344248517,1.0738890544707123,1.2709270640929369
common-pile/comma-v0.1-2t,bookmia.01.14,a_game_of_thrones,65,0.5691157763998375,2.5493998527526855,0,0.0,4.479580356882571,1.0607129282631103,1.5000594042283886,1.490813940803816,1.2023809433636157
common-pile/comma-v0.1-2t,bookmia.01.20,a_game_of_thrones,76,0.6503188364839945,2.2002739906311035,0,0.0,3.383377302320008,1.333482438646221,1.6342969630008948,1.0531341284025186,1.1202047789614322
common-pile/comma-v0.1-2t,bookmia.01.22,a_game_of_thrones,75,0.7098858796059567,4.020336786905925,0,0.0,5.663356466728895,1.4154395134442699,1.3022324247121013,1.8018110778996694,0.9470758251550984
common-pile/comma-v0.1-2t,bookmia.01.23,a_game_of_thrones,68,0.7083615756448872,3.4465087890625,0,0.0,4.8654654735116365,4.518923042293356,2.712540967930413,1.3219655983910543,1.3650899648406127
common-pile/comma-v0.1-2t,bookmia.01.26,a_game_of_thrones,71,0.7129973756101201,16.439332962036133,0,0.0,23.056652835459325,1.7575784229319107,2.6729345730604437,1.0230478815745245,2.3924004761807733
common-pile/comma-v0.1-2t,bookmia.01.27,a_game_of_thrones,73,0.7224335219075242,0.8000112246530874,47,0.6438356164383562,1.107383863557059,1.114787441040822,1.6590587306543847,1.5840464986723997,2.1651466300323583
common-pile/comma-v0.1-2t,bookmia.01.31,a_game_of_thrones,73,0.6344702286574705,5.737119674682617,0,0.0,9.04237805897099,1.3866974684392885,1.953788982144857,3.1135575578276056,1.6867332233736834
common-pile/comma-v0.1-2t,bookmia.01.32,a_game_of_thrones,79,0.6910003126030678,0.9618107924858729,2,0.02531645569620253,1.3919107921422418,1.4904446335501658,1.1107277399782063,1.0635125424110372,3.71413487263372
common-pile/comma-v0.1-2t,bookmia.01.33,a_game_of_thrones,77,0.5579581758550913,0.9260511629854591,5,0.06493506493506493,1.6597142994925234,1.7031344082600883,3.6175928703939926,1.2239576300376798,1.3872146311706968
common-pile/comma-v0.1-2t,bookmia.01.36,a_game_of_thrones,80,0.736961696138141,7.481728553771973,0,0.0,10.152126756353898,0.9513784054951048,0.9622394773263554,0.9906140814355429,1.0397162133633848
common-pile/comma-v0.1-2t,bookmia.01.37,a_game_of_thrones,77,0.6092653891151628,2.3404211044311523,0,0.0,3.841382008963532,1.103713803076626,1.2526306244496903,1.7215171532691889,12.53971316017414
common-pile/comma-v0.1-2t,bookmia.01.39,a_game_of_thrones,73,0.6827561393303415,6.67786169052124,0,0.0,9.780742062709237,1.1140992786469768,1.8968999990520745,1.0283399669528765,2.6804472064939127
common-pile/comma-v0.1-2t,bookmia.01.41,a_game_of_thrones,79,0.6606073799955736,1.008923045163484,8,0.10126582278481013,1.52726577951679,1.6891635199726018,6.649600340183562,2.0211626236212115,1.3802461875068557
common-pile/comma-v0.1-2t,bookmia.01.42,a_game_of_thrones,74,0.7543756836963175,2.296409765879313,0,0.0,3.0441195487999835,1.1979426243223683,1.3031946301503123,2.103489642066475,3.933713772184659
common-pile/comma-v0.1-2t,bookmia.01.43,a_game_of_thrones,88,0.6316826656191202,5.362213770548503,0,0.0,8.488777771498492,1.4470982667590992,1.476269349758434,0.9574481055375638,1.477487418776793
common-pile/comma-v0.1-2t,bookmia.01.44,a_game_of_thrones,79,0.6532851673200621,7.2732439041137695,0,0.0,11.133336968219286,1.2156554838405387,1.1355309695672846,3.423202852342129,1.4944101014509439
common-pile/comma-v0.1-2t,bookmia.01.46,a_game_of_thrones,79,0.7357079607412436,2.898006248474121,0,0.0,3.9390714836826146,1.1254770201260453,1.1713350116263117,1.2387647958273365,1.552456857523015
common-pile/comma-v0.1-2t,bookmia.01.49,a_game_of_thrones,72,0.6062270543145363,16.61233139038086,0,0.0,27.402820893839024,1.4089637394791081,6.555391645384104,1.0313752223281938,1.2241769180913304
common-pile/comma-v0.1-2t,bookmia.01.51,a_game_of_thrones,74,0.6629282838810171,7.510831832885742,0,0.0,11.329780332971572,1.221647646907455,1.0141077352039505,1.1625746940422383,3.225969885572473
