prompt_id,split,novel_source,S_safe,n_ref_tokens,S_safe_per_tok,S_safe_first_tok,cap_k0.1,cap_k0.15,cap_k0.25,cap_k0.5,cap_k1,cap_k1.5,cap_k3,cap_k5,cap_k10,cap_k20
bookmia.00.11,attack_train,1984,118.855,65,1.8285,15.929,0.172136,0.257205,0.426421,0.84499,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.00.26,attack_train,1984,164.685,67,2.458,16.407,0.123717,0.185075,0.307356,0.611277,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.00.31,attack_train,1984,140.447,65,2.1607,1.984,0.145354,0.217331,0.360661,0.716259,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.00.40,attack_train,1984,154.137,68,2.2667,14.842,0.13229,0.197859,0.328494,0.652962,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.00.46,attack_train,1984,175.347,68,2.5786,19.228,0.116107,0.173723,0.288576,0.574188,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.00.48,attack_train,1984,162.46,72,2.2564,16.907,0.125432,0.187632,0.311587,0.619625,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.00.64,attack_train,1984,147.436,72,2.0477,11.946,0.138379,0.206936,0.343494,0.682499,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.00.71,attack_train,1984,150.514,77,1.9547,15.337,0.135514,0.202666,0.336438,0.66861,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.00,attack_train,a_game_of_thrones,125.919,75,1.6789,13.567,0.162355,0.242649,0.402433,0.798156,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.01,attack_train,a_game_of_thrones,147.11,74,1.988,0.699,0.138689,0.207399,0.344258,0.684004,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.02,attack_train,a_game_of_thrones,227.319,71,3.2017,16.912,0.089306,0.133704,0.222286,0.442931,0.881422,1.0,1.0,1.0,1.0,1.0
bookmia.01.03,attack_train,a_game_of_thrones,186.461,66,2.8252,15.224,0.109109,0.163278,0.271287,0.540005,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.04,attack_train,a_game_of_thrones,181.143,79,2.2929,0.765,0.11235,0.168115,0.279295,0.555842,1.0,1.0,1.0,1.0,1.0,1.0
