judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.478,0.444,0.513,0.0,0.0,0.0,72.2,0.994
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.493,0.457,0.528,0.015,-0.018,0.048,72.5,0.994
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.5,0.466,0.534,0.022,-0.017,0.062,66.3,0.994
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.524,0.489,0.562,0.046,0.004,0.091,70.5,0.994
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.524,0.488,0.558,0.046,0.002,0.09,74.1,0.994
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.552,0.517,0.587,0.074,0.029,0.119,77.4,0.994
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.554,0.521,0.592,0.076,0.03,0.122,84.5,0.994
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),128,3.8598,500,0.568,0.532,0.603,0.09,0.044,0.138,86.1,0.994
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.432,0.391,0.476,0.0,0.0,0.0,72.2,0.9762
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.47,0.424,0.513,0.038,0.004,0.074,72.5,0.9762
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.484,0.442,0.528,0.052,0.008,0.098,66.3,0.9762
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.499,0.455,0.543,0.067,0.019,0.113,70.5,0.9762
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.545,0.501,0.588,0.113,0.066,0.164,74.1,0.9762
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.548,0.504,0.591,0.116,0.07,0.162,77.4,0.9762
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.568,0.524,0.61,0.136,0.09,0.182,84.5,0.9762
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),128,3.8598,500,0.557,0.514,0.6,0.125,0.074,0.172,86.1,0.9762
