k,K,split,prompt_id,seed,constraint,T,Z,L,M,V,b,B,L_over_K
0.5,100.0,attack_train,bookmia.07.72,3320184832,kl,200,93.208,102.003,8.795,223.671,18.903,93.213,1.02
0.5,100.0,attack_train,bookmia.00.48,3320184832,kl,200,95.653,79.647,-16.006,225.854,13.759,95.653,0.7965
0.5,100.0,attack_train,bookmia.01.23,3320184832,kl,200,92.731,89.146,-3.586,274.199,21.674,92.731,0.8915
0.5,100.0,attack_train,bookmia.01.42,3320184832,kl,200,25.125,18.936,-6.189,67.714,15.962,92.125,0.1894
0.5,100.0,attack_train,bookmia.01.76,3320184832,kl,200,83.604,61.684,-21.92,213.228,21.957,94.816,0.6168
0.5,100.0,attack_train,bookmia.07.15,3320184832,kl,200,95.018,86.881,-8.137,236.14,15.076,95.228,0.8688
0.5,100.0,attack_train,bookmia.07.41,3320184832,kl,200,95.419,93.382,-2.036,216.868,14.677,95.419,0.9338
0.5,100.0,attack_train,bookmia.01.03,3320184832,kl,200,94.697,92.058,-2.639,219.184,13.112,94.697,0.9206
0.5,100.0,attack_train,bookmia.01.10,3320184832,kl,200,92.008,69.976,-22.032,233.145,17.469,93.281,0.6998
0.5,100.0,attack_train,bookmia.01.11,3320184832,kl,200,94.666,110.87,16.205,229.969,16.532,94.666,1.1087
0.5,100.0,attack_train,bookmia.01.37,3320184832,kl,200,90.257,105.381,15.125,189.45,11.393,91.453,1.0538
0.5,100.0,attack_train,bookmia.01.41,3320184832,kl,200,94.409,95.071,0.661,223.159,18.772,94.409,0.9507
0.5,100.0,attack_train,bookmia.07.17,3320184832,kl,200,95.369,76.944,-18.424,215.196,19.466,95.369,0.7694
0.5,100.0,attack_train,bookmia.01.75,3320184832,kl,200,89.335,95.715,6.38,205.091,15.646,89.449,0.9571
0.5,100.0,attack_train,bookmia.01.78,3320184832,kl,200,0.0,0.0,0.0,0.0,0.0,93.753,0.0
0.5,100.0,attack_train,bookmia.07.07,3320184832,kl,200,94.562,86.67,-7.892,222.974,13.559,94.562,0.8667
0.5,100.0,attack_train,bookmia.07.61,3320184832,kl,200,14.813,3.095,-11.718,87.582,17.828,93.812,0.0309
0.5,100.0,attack_train,bookmia.07.80,3320184832,kl,200,94.548,50.004,-44.544,234.995,13.804,94.9,0.5
0.5,100.0,attack_train,bookmia.00.46,3320184832,kl,200,93.332,101.944,8.611,203.16,14.646,93.384,1.0194
0.5,100.0,attack_train,bookmia.01.31,3320184832,kl,200,93.067,115.921,22.855,210.672,20.986,94.178,1.1592
0.5,100.0,attack_train,bookmia.01.62,3320184832,kl,200,93.419,118.115,24.696,226.066,12.324,93.419,1.1812
0.5,100.0,attack_train,bookmia.07.59,3320184832,kl,200,93.286,75.744,-17.541,209.7,15.839,93.698,0.7574
0.5,100.0,attack_train,bookmia.00.64,3320184832,kl,200,0.0,-0.0,-0.0,0.0,0.0,95.591,-0.0
0.5,100.0,attack_train,bookmia.01.32,3320184832,kl,200,92.247,110.339,18.092,227.777,16.19,92.247,1.1034
0.5,100.0,attack_train,bookmia.07.77,3320184832,kl,200,94.338,65.715,-28.623,221.006,13.841,94.537,0.6572
0.5,100.0,attack_train,bookmia.01.12,3320184832,kl,200,93.479,92.634,-0.845,279.032,23.376,93.479,0.9263
0.5,100.0,attack_train,bookmia.07.09,3320184832,kl,200,95.403,84.286,-11.117,224.416,14.482,95.403,0.8429
0.5,100.0,attack_train,bookmia.07.26,3320184832,kl,200,94.438,73.67,-20.768,241.105,19.168,94.438,0.7367
0.5,100.0,attack_train,bookmia.07.29,3320184832,kl,200,93.341,97.358,4.017,224.48,11.844,94.205,0.9736
0.5,100.0,attack_train,bookmia.07.32,3320184832,kl,200,94.419,88.211,-6.208,224.83,12.195,94.419,0.8821
