n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.5467,0.8307,106.13,0.6636,81.0,69.0,90.0
8,1.2044,100,0.6659,0.8307,131.83,0.7738,92.0,86.0,97.0
64,3.1745,100,0.7101,0.8307,141.02,0.8146,96.0,91.0,98.0
256,4.5491,100,0.7315,0.8307,146.34,0.8348,98.0,96.0,99.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
