point,run,n_grid,k_minus1_recall,k_zero_recall,entered,s_x,onset_lo,onset_hi,onset,ratio,grid
seed=1,output/phase5/finec_kl3m520m_s1,11,0.5149,0.0,True,2.4147,2.4,2.6,2.4625,1.0198,1.6:0.000 1.8:0.000 2:0.000 2.1:0.000 2.2:0.000 2.3:0.000 2.4:0.000 2.6:0.032 2.8:0.033 3:0.055 3.4:0.102
seed=2,output/phase5/finec_kl3m520m_s2,11,0.5756,0.0,True,2.4147,2.4,2.6,2.5309,1.0481,1.6:0.000 1.8:0.000 2:0.000 2.1:0.000 2.2:0.000 2.3:0.001 2.4:0.001 2.6:0.015 2.8:0.016 3:0.032 3.4:0.083
seed=0 (the table's own),output/phase5/fine_kl3m520m,11,0.5188,0.0,True,2.4147,2.4,2.6,2.5429,1.0531,1.6:0.000 1.8:0.000 2:0.000 2.1:0.000 2.2:0.000 2.3:0.000 2.4:0.000 2.6:0.014 2.8:0.026 3:0.035 3.4:0.076
