prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1067,0.0,0.0,0.1364,0,0,0.0,1,0.0671,0.0,0.0671,0.0,3,0.0995,0.0,0.1137,0.0,2,0.099,0.0,0.1364
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.0,0.125,0.0,0.0,0.1618,0,0,0.0,1,0.1061,0.0,0.1061,0.0,1,0.1244,0.0,0.1618,0.0,2,0.0891,0.0,0.1618
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.0,0.0985,0.0,0.0,0.125,0,0,0.0,2,0.068,0.0,0.068,0.0,2,0.0972,0.0,0.1143,0.0,1,0.0694,0.0,0.125
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1029,0.0,0.0,0.1379,0,0,0.0,1,0.0809,0.0,0.0809,0.0,2,0.0642,0.0,0.1202,0.0,1,0.0602,0.0,0.1379
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.1402,0.0,0.0,0.1311,0,0,0.0,1,0.1192,0.0,0.1192,0.0,1,0.0159,0.0,0.1192,0.0,1,0.0159,0.0,0.1311
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1091,0.0,0.0,0.1546,0,0,0.0,2,0.1148,0.0,0.1148,0.0,3,0.1073,0.0,0.1212,0.0,3,0.1073,0.0,0.1546
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.0591,0.0,0.0,0.1111,0,0,0.0,1,0.086,0.0,0.086,0.0,1,0.0746,0.0,0.1085,0.0,1,0.0513,0.0,0.1111
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.0847,0.0,0.0,0.1684,0,0,0.0,1,0.0722,0.0,0.0722,0.0,2,0.078,0.0,0.1006,0.0,2,0.0649,0.0,0.1684
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.0503,0.0,0.0,0.1353,0,0,0.0,1,0.071,0.0,0.071,0.0,2,0.0847,0.0,0.0948,0.0,1,0.0387,0.0,0.1353
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.0664,0.0,0.0,0.1584,0,0,0.0,1,0.0778,0.0,0.0778,0.0,1,0.0733,0.0,0.1584,0.0,1,0.0993,0.0,0.1584
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.0591,0.0,0.0,0.1134,0,0,0.0,1,0.071,0.0,0.071,0.0,2,0.0925,0.0,0.1134,0.0,2,0.0942,0.0,0.1134
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.068,0.0,0.0,0.11,0,0,0.0,1,0.0899,0.0,0.0899,0.0,1,0.043,0.0,0.0899,0.0,1,0.0292,0.0,0.11
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.0498,0.0,0.0,0.0918,0,0,0.0,1,0.0561,0.0,0.0561,0.0,1,0.0678,0.0,0.0686,0.0,1,0.0725,0.0,0.0918
