model,corpus,params,family,work,id,n_tok,n_char,total_nats,s_rate,k_crit,uncertified_width,nats_per_tok
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,831,1500,2018.2997359947767,1.3455331573298512,1.6560412815638952,1.230769581962761,2.428760211786735
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Pride and Prejudice,Pride and Prejudice,735,1500,1701.3091679362842,1.1342061119575229,1.7393064477535731,1.53350121236052,2.31470635093372
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Moby-Dick,Moby-Dick,739,1500,2038.718285979472,1.3591455239863146,6.882663726806641,5.063963795885585,2.758752755046647
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,A Tale of Two Cities,A Tale of Two Cities,761,1500,1761.1108101420878,1.1740738734280585,1.7278659003121513,1.4716841413625295,2.3142060580053716
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,692,1500,1542.496214000319,1.028330809333546,21.03607177734375,20.456521954230936,2.2290407716767615
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Frankenstein,Frankenstein,710,1500,1543.451925430254,1.028967950286836,1.4027828574180603,1.3632911083644725,2.173875951310217
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Dracula,Dracula,802,1500,1819.49729660523,1.21299819773682,1.9420959949493408,1.6010708000826812,2.2686998710788404
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Jane Eyre,Jane Eyre,799,1500,2188.907454526063,1.4592716363507086,4.108133977811251,2.8151948379430696,2.7395587666158483
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Wuthering Heights,Wuthering Heights,773,1500,2051.6488440899993,1.3677658960599997,3.9311084270477297,2.874109113534502,2.654138220038809
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Great Expectations,Great Expectations,737,1500,1587.265213677325,1.0581768091182167,4.725925922393799,4.466102339109032,2.153684143388501
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Adventures of Huckleberry Finn,Adventures of Huckleberry Finn,791,1500,1829.805777197791,1.2198705181318608,1.9077028123040993,1.5638568060695504,2.3132816399466383
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,783,1500,1775.5080416482742,1.1836720277655162,1.3396611647367966,1.1317840865647133,2.2675709344166974
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Treasure Island,Treasure Island,789,1500,2169.6305881601,1.4464203921067333,13.726654052734375,9.490086096436524,2.749848654195311
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Peter Pan,Peter Pan,761,1500,1907.3568194828986,1.271571212988599,10.81139850616455,8.502393256256806,2.5063821543796303
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Wonderful Wizard of Oz,The Wonderful Wizard of Oz,787,1500,1701.3909584214634,1.1342606389476424,1.1441330122126503,1.0087037960465308,2.161869070421173
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Little Women,Little Women,754,1500,1941.2319424404923,1.2941546282936616,1.4959831468205755,1.1559539440762379,2.574578172998
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Anne of Green Gables,Anne of Green Gables,735,1500,1712.2182391228707,1.1414788260819138,2.3340041580108495,2.044719625700143,2.329548624656967
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Call of the Wild,The Call of the Wild,752,1500,1927.832823697041,1.285221882464694,2.5437199252968035,1.9792068280215276,2.563607478320533
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The War of the Worlds,The War of the Worlds,751,1500,1803.2150565891734,1.202143371059449,2.023515418275565,1.6832563128408227,2.4010852950588193
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Time Machine,The Time Machine,714,1500,1793.9485377438978,1.1959656918292652,11.664618492126465,9.753305276077848,2.512532966027868
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Picture of Dorian Gray,The Picture of Dorian Gray,737,1500,1743.6204696044147,1.162413646402943,1.1802069621560813,1.0153072151279359,2.365835101227157
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Emma,Emma,706,1500,1781.9276312504444,1.1879517541669629,3.954137086868286,3.328533396241397,2.5239768148023294
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Sense and Sensibility,Sense and Sensibility,721,1500,1786.0122860656393,1.1906748573770929,15.921415328979492,13.371757394837722,2.4771321582047703
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Persuasion,Persuasion,731,1500,1728.5191110842006,1.1523460740561338,2.054663971532136,1.7830268335101285,2.364595227201369
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Northanger Abbey,Northanger Abbey,738,1500,1721.9919211092456,1.1479946140728303,2.019997755686442,1.7595881817946322,2.3333223863268913
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Oliver Twist,Oliver Twist,731,1500,1952.588473867596,1.301725649245064,1.567166620233329,1.2039146813633177,2.671119663293565
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,David Copperfield,David Copperfield,769,1500,1906.0228262247365,1.2706818841498244,1.8114173275950765,1.4255474562046204,2.4785732460659773
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Bleak House,Bleak House,739,1500,1648.370593472835,1.09891372898189,18.069528579711914,16.443082021054355,2.2305420750647293
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Count of Monte Cristo,The Count of Monte Cristo,756,1500,1916.5550352829232,1.277703356855282,3.7757533391316733,2.955109508692737,2.535125708046195
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Les Miserables,Les Miserables,741,1500,2022.3187452113852,1.3482124968075901,10.1267728805542,7.511258725559372,2.7291750947522067
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Odyssey,The Odyssey,776,1500,1781.418498901945,1.1876123326012966,11.037420272827148,9.293790549186403,2.295642395492197
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Don Quixote,Don Quixote,747,1500,1558.1306260152269,1.0387537506768179,1.1697653172496458,1.1261237964122537,2.08585090497353
