model,corpus,params,family,work,id,n_tok,n_char,total_nats,s_rate,k_crit,uncertified_width,nats_per_tok
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Walden,Walden,774,1500,1747.080806596845,1.16472053773123,2.868435859680176,2.4627674766237306,2.257210344440368
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Scarlet Letter,The Scarlet Letter,747,1500,1895.194725334848,1.263463150223232,1.6088603155851062,1.2733733590099945,2.5370745988418313
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Importance of Being Earnest,The Importance of Being Earnest,728,1500,1580.7539566339074,1.0538359710892715,2.148573875427246,2.0388124284716014,2.171365325046576
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Prince,The Prince,709,1500,1428.261368057385,0.95217424537159,4.674572944641113,4.909367132500881,2.0144730155957475
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Meditations,Meditations,726,1500,1945.4671800985382,1.296978120065692,1.4753227080883724,1.1375077846445454,2.6797068596398597
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Iliad,The Iliad,752,1500,1806.4879178708434,1.2043252785805623,2.5979588627815247,2.157190344657983,2.4022445716367598
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Grimms' Fairy Tales,Grimms' Fairy Tales,797,1500,1921.3623286716902,1.28090821911446,2.028622828113536,1.5837378493175718,2.4107431978314806
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Gulliver's Travels,Gulliver's Travels,750,1500,1782.5346327387451,1.18835642182583,16.089466094970703,13.539259602140506,2.37671284365166
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Robinson Crusoe,Robinson Crusoe,760,1500,1565.2868349023483,1.0435245566015656,1.9615627924601238,1.8797476111614686,2.0595879406609847
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Ivanhoe,Ivanhoe,704,1500,1852.1239934961122,1.234749328997408,1.405504236887743,1.1382911526090762,2.630857945306978
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Three Musketeers,The Three Musketeers,702,1500,1632.3448889547217,1.0882299259698145,2.248901049296061,2.0665679151323406,2.3252776195936207
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Middlemarch,Middlemarch,732,1500,1707.8714533362545,1.1385809688908364,17.64439582824707,15.496830098465102,2.3331577231369596
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Heart of Darkness,Heart of Darkness,713,1500,1861.7759109150975,1.241183940610065,2.23726390890385,1.8025240544154906,2.6111864108206135
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Ulysses,Ulysses,805,1500,2605.2765798484966,1.7368510532323311,2.206980921328068,1.2706794386431761,3.2363684221720455
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,The Secret Garden,The Secret Garden,755,1500,1497.8244629371184,0.9985496419580789,13.710172653198242,13.730086194126162,1.9838734608438653
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Black Beauty,Black Beauty,765,1500,1669.2381968329282,1.1128254645552855,5.806190490722656,5.217521233703044,2.182010714814285
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,Twenty Thousand Leagues under the Sea,Twenty Thousand Leagues under the Sea,748,1500,1828.27459871897,1.2188497324793135,1.873835352519527,1.5373801237236027,2.4442173779665377
alea-institute/kl3m-002-170m,kl3m,0.17,gutenberg,War and Peace,War and Peace,778,1500,1916.5003099816422,1.2776668733210947,4.896274849772453,3.8321998887279234,2.4633680076884863
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,1984,1984,710,1500,1732.7352973198722,1.1551568648799149,11.173589706420898,9.672789944058772,2.440472249746299
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,a_game_of_thrones,a_game_of_thrones,807,1500,2245.5683453708843,1.4970455635805895,15.241633415222168,10.181141967895538,2.782612571711133
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,casino_royale,casino_royale,768,1500,1942.985276715599,1.2953235178103992,1.6473784743109718,1.2717892106951647,2.5299287457234363
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,dune,dune,746,1500,2097.5638635611976,1.3983759090407983,19.734094619750977,14.112152885476537,2.8117478063823023
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,fahrenheit_451,fahrenheit_451,763,1500,2051.1094566771208,1.3674063044514138,1.76334916241467,1.2895575782225923,2.6882168501666066
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,fifty_shades_of_grey,fifty_shades_of_grey,806,1500,2258.6174309646594,1.5057449539764396,1.7197276355013984,1.1421108408564569,2.802254877127369
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,five_on_a_treasure_island,five_on_a_treasure_island,767,1500,1888.9857431158744,1.2593238287439161,2.8082555135091147,2.2299709172581488,2.462823654649119
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,harry_potter_and_the_sorcerer's_stone,harry_potter_and_the_sorcerer's_stone,765,1500,2156.603198193101,1.4377354654620673,2.2358200550079346,1.5550983534299716,2.8190891479648377
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,hitchhiker's_guide_to_the_galaxy,hitchhiker's_guide_to_the_galaxy,721,1500,1888.156159071188,1.2587707727141253,5.436807155609131,4.319139968499939,2.618801884980843
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,lord_of_the_flies,lord_of_the_flies,763,1500,2039.710947421554,1.359807298281036,2.4819615681966147,1.8252303626654451,2.673277781679625
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,the_da_vinci_code,the_da_vinci_code,762,1500,1848.6324468319217,1.2324216312212812,13.828903198242188,11.220918919232446,2.426026833112758
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,the_hunger_games,the_hunger_games,782,1500,2091.64945708718,1.3944329713914534,5.154768466949463,3.696677124469962,2.6747435512623787
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,the_silmarillion,the_silmarillion,787,1500,2300.555583872949,1.5337037225819659,2.3211280442962856,1.5134135818544558,2.9231964216937087
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,their_eyes_were_watching_god,their_eyes_were_watching_god,798,1500,2182.1060451361263,1.4547373634240843,1.492009085512876,1.0256209285785192,2.73446872824076
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,things_fall_apart,things_fall_apart,758,1500,1871.7210240762215,1.2478140160508144,5.08334493637085,4.073800158503622,2.46928894996863
alea-institute/kl3m-002-170m,kl3m,0.17,copybench,to_kill_a_mockingbird,to_kill_a_mockingbird,773,1500,2070.850630012428,1.3805670866749522,10.038113594055176,7.271007465657916,2.6789788227845124
alea-institute/kl3m-002-170m,kl3m,0.17,passage,1984,bookmia.00.11,114,225,205.40142323228065,0.9128952143656918,7.634812831878662,8.363295931158506,1.8017668704586023
alea-institute/kl3m-002-170m,kl3m,0.17,passage,1984,bookmia.00.26,133,273,295.2719293956252,1.081582158958334,15.766881942749023,14.577609118417802,2.220089694703949
alea-institute/kl3m-002-170m,kl3m,0.17,passage,1984,bookmia.00.31,122,252,274.4996629853267,1.0892843769258997,5.6610107421875,5.196999848803118,2.2499972375846453
alea-institute/kl3m-002-170m,kl3m,0.17,passage,1984,bookmia.00.40,128,290,286.5538639900042,0.9881167723793247,2.8344757556915283,2.868563549292139,2.2387020624219076
alea-institute/kl3m-002-170m,kl3m,0.17,passage,1984,bookmia.00.46,132,312,336.44756710805814,1.0783575868848017,3.3959035873413086,3.1491442436562416,2.548845205364077
alea-institute/kl3m-002-170m,kl3m,0.17,passage,1984,bookmia.00.48,131,264,340.96840189333307,1.2915469768686858,3.6544891357421876,2.8295441057841964,2.602812228193382
alea-institute/kl3m-002-170m,kl3m,0.17,passage,1984,bookmia.00.64,143,273,305.56231937563075,1.1192758951488306,5.339411354064941,4.770415745757624,2.136799436193222
alea-institute/kl3m-002-170m,kl3m,0.17,passage,1984,bookmia.00.71,137,271,327.45330458533135,1.2083147770676435,12.780111312866211,10.576806272187763,2.3901701064622727
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.00,130,255,364.01654237002367,1.4275158524314653,5.17075761159261,3.6222067886569107,2.800127249000182
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.01,139,276,360.5847827735706,1.3064666042520674,1.3830032816424251,1.058582957376223,2.5941351278674145
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.02,126,238,400.9594726669893,1.6847036666680224,8.081430435180664,4.796944765463695,3.182218037039598
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.03,126,237,333.21637548619765,1.4059762678742518,6.740040461222331,4.793850803337421,2.6445744086206164
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.04,133,232,336.77262904605595,1.4516061596812757,1.9666447801536626,1.3548060312622758,2.5321250304214735
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.07,141,268,406.0181212882744,1.514992989881621,8.125223159790039,5.363208420142545,2.879561143888471
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.10,142,270,358.94387604348594,1.329421763124022,9.755858421325684,7.338422381773179,2.5277737749541265
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.11,140,261,354.1044352615136,1.3567219741820444,3.814267635345459,2.811384873194117,2.529317394725097
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.12,176,293,487.19221940729767,1.662772079888388,4.875024795532227,2.931865921070468,2.7681376102687367
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.14,127,253,291.63859488160233,1.152721718899614,4.406620502471924,3.822796456614417,2.2963668888315145
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.20,141,270,361.57603538515104,1.3391705014264854,2.463347593943278,1.8394577772728105,2.564369045284759
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.22,132,253,347.0751918745227,1.3718387030613546,6.851005554199219,4.994031396629005,2.6293575142009296
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.23,143,273,344.09967093676096,1.2604383550797105,8.313667297363281,6.595853945461317,2.4062914051521744
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.26,131,262,334.771327569033,1.2777531586604314,2.90053927898407,2.2700309988080423,2.5555063173208628
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.27,128,261,375.5962222638773,1.4390659856853536,1.5979130214291217,1.1103820376020612,2.9343454864365413
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.31,140,249,341.20684366914793,1.3703086091130439,5.843764623006185,4.264560978558445,2.4371917404939136
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.32,140,250,361.89811452064896,1.4475924580825958,2.643986463546753,1.8264715657947246,2.58498653229035
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.33,138,284,364.3991730812704,1.2830956798636282,3.3948588371276855,2.6458345160109205,2.6405737179802204
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.36,143,281,391.2575107290759,1.3923754830216224,15.715641021728516,11.286927422496468,2.736066508594936
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.37,133,259,407.8601495680632,1.5747496122319042,10.000571250915527,6.350578640080847,3.0666176659252873
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.39,128,248,374.3313728206813,1.5094006968575857,9.568739891052246,6.339429888281727,2.9244638501615725
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.41,136,253,305.8573475776939,1.2089223224414778,2.253625095821917,1.8641603798584931,2.248951085130102
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.42,132,261,335.02819077292224,1.2836329148387826,1.8820604304472606,1.4661983256199358,2.53809235434032
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.43,155,281,435.31667884797207,1.549169675615559,16.899368286132812,10.908661944610998,2.8084947022449813
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.44,130,264,333.1247597250913,1.2618362110798913,7.826765537261963,6.202679451213199,2.5624981517314716
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.46,145,284,423.0936837706831,1.4897664921502927,2.91171817779541,1.9544795732334581,2.9178874742805734
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.49,135,253,359.61250501626637,1.421393300459551,9.438581466674805,6.6403728395393555,2.663796333453825
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.51,134,245,307.78265257074963,1.25625572477857,7.000776290893555,5.572731851333473,2.2968854669458927
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.52,146,279,383.5938651400211,1.3748884055197887,16.271926879882812,11.835089171277916,2.627355240685076
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.58,135,255,342.44240185720264,1.3429113798321672,4.5931196212768555,3.420270086512253,2.536610384127427
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.59,134,285,370.4805810567923,1.299931863357166,7.805014610290527,6.004172088015079,2.7647804556477036
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.60,145,268,373.90562696155393,1.3951702498565446,17.517492294311523,12.555809798920757,2.578659496286579
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.62,135,255,339.32825688547746,1.3306990466097155,8.001355171203613,6.012896147772136,2.5135426435961294
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.69,139,265,397.5418242836604,1.500157827485511,4.171263376871745,2.7805496864709274,2.8600131243428804
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.71,134,244,323.4293140769296,1.3255299757251213,4.275065898895264,3.2251748185148514,2.413651597589027
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.73,147,278,328.25854110947694,1.1807861190988378,10.194928169250488,8.634017629739024,2.233051300064469
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.74,134,263,411.0564584272506,1.5629523134115992,8.107596397399902,5.187360054320985,3.067585510651124
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.75,137,268,378.7511380556389,1.4132505151329808,3.4903345108032227,2.4697210249909562,2.7646068471214518
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.76,137,264,352.01175538291864,1.3333778612989342,8.316514015197754,6.237177214788965,2.5694288714081654
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.77,148,268,346.1625083486433,1.2916511505546393,5.95860481262207,4.613168818890012,2.338935867220563
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.78,143,269,345.36167496170674,1.2838723976271627,4.928270657857259,3.8385984985467627,2.4151166081238236
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.79,147,298,380.5538828605204,1.2770264525520818,6.7790788014729815,5.308487375437907,2.5888019242212272
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.81,130,253,268.5920270956558,1.0616285655954774,3.338944911956787,3.1451159286430297,2.0660925161204293
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.82,139,252,345.62840555087314,1.3715412918685441,7.786255359649658,5.677011261572674,2.4865352917329004
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.83,141,269,346.18365538222133,1.286928086922756,5.199831008911133,4.040498503179562,2.4552032296611443
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.87,146,281,433.87640313763404,1.5440441392798365,8.878509521484375,5.750165617432047,2.971756185874206
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.88,127,251,314.7484922777221,1.253978056883355,6.671915054321289,5.320599525404543,2.4783345848639535
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.89,131,272,393.4250069638947,1.4464154667790246,5.251978874206543,3.6310306373465457,3.003244327968662
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.90,132,270,320.86421360837994,1.1883859763273332,5.710327784220378,4.805112057841639,2.4307894970331816
alea-institute/kl3m-002-170m,kl3m,0.17,passage,a_game_of_thrones,bookmia.01.97,129,266,300.1695539880311,1.1284569698798161,5.600903193155925,4.963328990517412,2.3268957673490784
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.02,109,218,219.6426450451254,1.0075350690143368,3.465038299560547,3.4391242609057424,2.0150701380286735
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.03,137,258,307.73418826724446,1.1927681715784668,4.931246757507324,4.134287680548591,2.246234950855799
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.04,135,292,371.7427059999027,1.2730914589037763,5.014122009277344,3.9385402943437113,2.7536496740733534
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.05,132,266,364.59533089317847,1.3706591386961597,10.289462089538574,7.506944505055014,2.7620858400998367
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.06,127,230,272.45283800564357,1.1845775565462764,3.8701529502868652,3.2671165588942803,2.1452979370523115
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.07,128,270,298.65902956614445,1.1061445539486832,4.223587512969971,3.818296169241831,2.3332736684855035
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.08,139,250,298.8842636559275,1.19553705462371,2.6825737953186035,2.2438232131273685,2.1502465011217806
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.09,134,251,370.8003943648655,1.4772924078281493,4.031443119049072,2.7289405250352052,2.767167122125862
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.15,151,268,361.25878147638286,1.347980527896951,1.82515287399292,1.35399053340958,2.392442261432999
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.16,126,256,322.2613997212029,1.2588335926609489,16.760005950927734,13.313916985246701,2.5576301565174835
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.17,138,260,301.68613038834883,1.1603312707244187,8.609179496765137,7.419587590180388,2.1861313796257162
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.20,136,277,355.9053183339711,1.2848567448879822,9.135622024536133,7.110226148466539,2.6169508701027286
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.24,115,227,260.7744456095097,1.1487861040066507,5.136763254801433,4.471470569574103,2.267603874865302
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.25,130,262,341.2729930696951,1.3025686758385309,2.914213498433431,2.237282035480702,2.6251768697668854
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.26,129,246,302.0597784104757,1.2278852780913647,5.86978006362915,4.780397785005767,2.341548669848649
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.28,137,271,342.95217984910414,1.2655061987051814,2.0941100120544434,1.6547607701938232,2.5033005828401764
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.29,128,288,319.86233665121836,1.110633113372286,8.008371353149414,7.210636218861769,2.4989245050876434
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.30,134,257,321.62563604798925,1.2514616188637715,1.9244591395060222,1.537769205621567,2.4001913137909647
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.31,134,242,298.83993054593884,1.2348757460575985,2.8238003253936768,2.2867080630652907,2.230148735417454
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.32,147,300,398.6047406397993,1.3286824687993308,5.506336212158203,4.144207770825806,2.711596875100675
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.37,126,274,290.99452238951926,1.0620238043413113,1.2958483695983887,1.2201688552565921,2.3094803364247563
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.40,131,256,288.0699004926428,1.1252730487993858,4.282676696777344,3.805900000312601,2.1990068739896396
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.41,138,283,325.72065011935774,1.1509563608457871,5.642392158508301,4.902351079898421,2.3602945660823025
alea-institute/kl3m-002-170m,kl3m,0.17,passage,casino_royale,bookmia.07.43,130,238,388.6282264427282,1.6328917077425553,12.658949851989746,7.752473597585063,2.989447895713294
