prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.07.03,casino_royale,0.5735,0.327,0.3412,0.3412,72,0.3412,72,0.3412,72
bookmia.07.04,casino_royale,0.684,0.3262,0.3396,0.3396,72,0.3396,72,0.3396,72
bookmia.07.05,casino_royale,0.0,0.3407,0.3493,0.3493,73,0.3493,73,0.3493,73
bookmia.07.06,casino_royale,0.8154,0.3187,0.3949,0.3949,69,0.3897,76,0.3897,76
bookmia.07.07,casino_royale,0.1435,0.3052,0.3241,0.3241,70,0.3241,70,0.3241,70
bookmia.07.08,casino_royale,0.0,0.0154,0.2464,0.0,7,0.0,3,0.2464,51
bookmia.07.09,casino_royale,0.7799,0.311,0.3541,0.3541,74,0.3541,74,0.3541,74
bookmia.07.15,casino_royale,0.7897,0.2905,0.3505,0.3037,65,0.3505,75,0.3505,75
bookmia.07.16,casino_royale,0.7767,0.3799,0.4,0.3953,85,0.3953,85,0.3953,85
bookmia.07.17,casino_royale,0.302,0.3801,0.3861,0.3861,78,0.3861,78,0.3861,78
bookmia.07.20,casino_royale,0.5681,0.3386,0.3427,0.3427,73,0.3427,73,0.3427,73
bookmia.07.24,casino_royale,0.5959,0.3611,0.3782,0.3731,72,0.3523,68,0.3731,72
bookmia.07.25,casino_royale,0.743,0.3103,0.3411,0.3411,73,0.3411,73,0.3411,73
bookmia.07.26,casino_royale,0.2009,0.3212,0.3411,0.3364,72,0.3364,72,0.3364,72
bookmia.07.28,casino_royale,0.493,0.349,0.3581,0.3581,77,0.3581,77,0.3581,77
bookmia.07.29,casino_royale,0.1866,0.3707,0.3828,0.378,79,0.378,79,0.378,79
bookmia.07.30,casino_royale,0.1238,0.3524,0.3911,0.3911,79,0.3911,79,0.3911,79
bookmia.07.31,casino_royale,0.1359,0.3142,0.3447,0.3447,71,0.3447,71,0.3447,71
bookmia.07.32,casino_royale,0.0,0.3631,0.3654,0.3654,76,0.3654,76,0.3654,76
bookmia.07.37,casino_royale,0.0,0.3173,0.3349,0.3349,71,0.3349,71,0.3349,71
bookmia.07.40,casino_royale,0.7474,0.3513,0.3814,0.3763,68,0.3763,68,0.3402,62
bookmia.07.41,casino_royale,0.1019,0.3632,0.3835,0.3835,79,0.3835,79,0.3835,79
bookmia.07.43,casino_royale,0.7725,0.3728,0.4021,0.3016,57,0.4021,76,0.4021,76
