decoder,constraint,k,prompt_class,n,active_step_pct,forced_anchor_step_pct,distinct3,max_rep_5gram,n_judged,win_pct,tie_pct,loss_pct,judge_picked_first_pct,retention_pct
KL,kl,0.5,creative,450,56.509,3.542,0.8525,0.1495,60,33.3,15.0,51.7,37.3,48.3
KL,kl,0.5,factual,450,45.406,4.119,0.9848,0.0178,60,26.7,6.7,66.7,25.0,33.3
KL,kl,0.5,neutral,600,43.686,2.766,0.7615,0.2354,60,40.0,6.7,53.3,39.3,46.7
KL,kl,1.0,creative,450,6.295,1.649,0.864,0.1358,60,21.7,18.3,60.0,42.9,40.0
KL,kl,1.0,factual,450,5.68,1.828,0.984,0.0125,60,26.7,8.3,65.0,38.2,35.0
KL,kl,1.0,neutral,600,4.59,1.294,0.7641,0.2317,60,38.3,8.3,53.3,40.0,46.7
KL,kl,3.0,creative,450,0.256,0.375,0.9264,0.0718,60,28.3,25.0,46.7,37.8,53.3
KL,kl,3.0,factual,450,0.323,0.48,0.9896,0.008,60,43.3,10.0,46.7,51.9,53.3
KL,kl,3.0,neutral,600,0.439,0.119,0.9617,0.0281,60,40.0,5.0,55.0,47.4,45.0
KL,kl,5.0,creative,450,0.104,0.033,0.9758,0.023,60,26.7,16.7,56.7,36.0,43.3
KL,kl,5.0,factual,450,0.438,0.063,0.9869,0.0083,60,48.3,6.7,45.0,41.1,55.0
KL,kl,5.0,neutral,600,0.202,0.007,0.9799,0.0084,60,53.3,8.3,38.3,54.5,61.7
KL,kl,10.0,creative,450,0.0,0.0,0.9913,0.0075,60,38.3,16.7,45.0,20.0,55.0
KL,kl,10.0,factual,450,0.023,0.001,0.9852,0.0084,60,41.7,11.7,46.7,45.3,53.3
KL,kl,10.0,neutral,600,0.003,0.0,0.98,0.0084,60,45.0,8.3,46.7,41.8,53.3
KL,kl,20.0,creative,450,0.0,0.0,0.9913,0.0075,60,36.7,8.3,55.0,36.4,45.0
KL,kl,20.0,factual,450,0.0,0.001,0.9852,0.0083,60,50.0,11.7,38.3,49.1,61.7
KL,kl,20.0,neutral,600,0.0,0.0,0.98,0.0084,60,51.7,6.7,41.7,51.8,58.3
anchor only,kl,0.0,creative,450,0.0,100.0,0.8592,0.1485,60,38.3,6.7,55.0,32.1,45.0
anchor only,kl,0.0,factual,450,0.0,100.0,0.9579,0.0706,60,25.0,8.3,66.7,30.9,33.3
anchor only,kl,0.0,neutral,600,0.0,100.0,0.7317,0.276,60,28.3,8.3,63.3,32.7,36.7
pathwise,pathwise,0.5,creative,450,64.074,3.58,0.846,0.1557,60,36.7,21.7,41.7,36.2,58.3
pathwise,pathwise,0.5,factual,450,64.031,4.129,0.9743,0.0303,60,20.0,5.0,75.0,35.1,25.0
pathwise,pathwise,0.5,neutral,600,62.207,2.757,0.7557,0.2423,60,28.3,8.3,63.3,34.5,36.7
pathwise,pathwise,1.0,creative,450,15.816,1.657,0.8616,0.1405,60,26.7,23.3,50.0,26.1,50.0
pathwise,pathwise,1.0,factual,450,17.526,1.845,0.9795,0.0152,60,40.0,6.7,53.3,30.4,46.7
pathwise,pathwise,1.0,neutral,600,15.18,1.284,0.7639,0.2313,60,36.7,6.7,56.7,46.4,43.3
pathwise,pathwise,3.0,creative,450,1.933,0.421,0.8977,0.1023,60,30.0,13.3,56.7,26.9,43.3
pathwise,pathwise,3.0,factual,450,2.146,0.48,0.9902,0.0078,60,46.7,5.0,48.3,35.1,51.7
pathwise,pathwise,3.0,neutral,600,2.137,0.159,0.8175,0.1767,60,36.7,6.7,56.7,48.2,43.3
pathwise,pathwise,5.0,creative,450,1.086,0.043,0.9565,0.043,60,25.0,21.7,53.3,36.2,46.7
pathwise,pathwise,5.0,factual,450,1.227,0.063,0.9906,0.0079,60,35.0,6.7,58.3,42.9,41.7
pathwise,pathwise,5.0,neutral,600,1.149,0.009,0.962,0.0281,60,35.0,15.0,50.0,39.2,50.0
pathwise,pathwise,10.0,creative,450,0.5,0.0,0.9902,0.0078,60,46.7,11.7,41.7,50.9,58.3
pathwise,pathwise,10.0,factual,450,0.541,0.0,0.9883,0.0081,60,45.0,3.3,51.7,36.2,48.3
pathwise,pathwise,10.0,neutral,600,0.501,0.0,0.9811,0.0083,60,46.7,6.7,46.7,42.9,53.3
pathwise,pathwise,20.0,creative,450,0.0,0.0,0.9913,0.0075,60,41.7,8.3,50.0,41.8,50.0
pathwise,pathwise,20.0,factual,450,0.003,0.001,0.9852,0.0083,60,45.0,13.3,41.7,40.4,58.3
pathwise,pathwise,20.0,neutral,600,0.003,0.0,0.98,0.0084,60,53.3,21.7,25.0,40.4,75.0
renyi a=1,renyi:1.0,3.0,creative,45,0.256,0.365,0.9018,0.0959,45,48.9,15.6,35.6,47.4,64.4
renyi a=1,renyi:1.0,3.0,factual,45,0.456,0.456,0.9883,0.008,45,26.7,4.4,68.9,41.9,31.1
renyi a=1,renyi:1.0,3.0,neutral,60,0.41,0.277,0.9277,0.0735,60,35.0,10.0,55.0,42.6,45.0
renyi a=2,renyi:2,3.0,creative,45,2.022,0.365,0.9081,0.0953,45,33.3,8.9,57.8,36.6,42.2
renyi a=2,renyi:2,3.0,factual,45,2.522,0.456,0.9908,0.0075,45,35.6,4.4,60.0,39.5,40.0
renyi a=2,renyi:2,3.0,neutral,60,2.852,0.291,0.9079,0.0908,60,43.3,1.7,55.0,40.7,45.0
renyi a=8,renyi:8,3.0,creative,45,99.374,0.588,0.8794,0.123,45,31.1,6.7,62.2,40.5,37.8
renyi a=8,renyi:8,3.0,factual,45,99.382,0.492,0.9842,0.0086,45,17.8,6.7,75.6,40.5,24.4
renyi a=8,renyi:8,3.0,neutral,60,99.576,0.358,0.8728,0.1234,60,40.0,0.0,60.0,45.0,40.0
risky only,kl,-1.0,creative,450,0.0,0.0,0.9887,0.0074,0,,,,,
risky only,kl,-1.0,factual,450,0.0,0.0,0.9827,0.0085,0,,,,,
risky only,kl,-1.0,neutral,600,0.0,0.0,0.9845,0.0082,0,,,,,
risky only (null),kl,-1.0,creative,150,0.0,0.0,0.9887,0.0074,60,41.7,16.7,41.7,38.0,58.3
risky only (null),kl,-1.0,factual,150,0.0,0.0,0.9827,0.0085,60,46.7,6.7,46.7,44.6,53.3
risky only (null),kl,-1.0,neutral,200,0.0,0.0,0.9845,0.0082,60,38.3,25.0,36.7,46.7,63.3
