k,mode,L,n_passages,n_queries_mean,nv_recall_mean,nv_recall_median,nv_recall_ge_0p8_pct,lcs_word_mean,lcs_word_max,spend_total_mean,max_query_Z_over_K,invariant_violations
-1.0,single,0,100,1,0.4921,0.4141,29.0,81.34,214,0.0,0,0
-1.0,oracle,20,100,13.5,0.8826,0.9118,84.0,117.48,219,0.0,0,0
-1.0,oracle,50,100,5.8,0.8074,0.8506,64.0,107.35,219,0.0,0,0
-1.0,chained,20,100,13.5,0.4701,0.4092,29.0,67.99,184,0.0,0,0
-1.0,chained,50,100,5.8,0.5307,0.5834,34.0,69.07,194,0.0,0,0
0.0,single,0,100,1,0.0,0.0,0.0,1.73,4,0.0,0,0
0.0,oracle,20,100,13.5,0.0,0.0,0.0,2.71,11,0.0,0,0
0.0,oracle,50,100,5.8,0.0032,0.0,0.0,3.79,23,0.0,0,0
0.0,chained,20,100,13.5,0.0,0.0,0.0,1.62,4,0.0,0,0
0.0,chained,50,100,5.8,0.0,0.0,0.0,1.69,4,0.0,0,0
0.15,single,0,100,1,0.0,0.0,0.0,1.77,4,12.79,0.8143,0
0.15,oracle,20,100,13.5,0.0,0.0,0.0,2.71,11,0.0,0,0
0.15,oracle,50,100,5.8,0.0032,0.0,0.0,3.79,23,0.0,0,0
0.15,chained,20,100,13.5,0.0,0.0,0.0,1.62,4,0.0,0,0
0.15,chained,50,100,5.8,0.0,0.0,0.0,1.69,4,0.0,0,0
0.5,single,0,100,1,0.0,0.0,0.0,1.9,4,99.01,0.9443,0
0.5,oracle,20,100,13.5,0.0,0.0,0.0,2.71,11,0.23,0.2084,0
0.5,oracle,50,100,5.8,0.0021,0.0,0.0,4.02,22,64.55,0.6834,0
0.5,chained,20,100,13.5,0.0,0.0,0.0,1.67,4,0.78,0.2084,0
0.5,chained,50,100,5.8,0.0,0.0,0.0,1.79,4,38.29,0.6834,0
1.0,single,0,100,1,0.0,0.0,0.0,2.09,5,250.96,0.9733,0
1.0,oracle,20,100,13.5,0.0,0.0,0.0,3.09,11,87.47,0.6042,0
1.0,oracle,50,100,5.8,0.0011,0.0,0.0,3.96,22,208.39,0.8292,0
1.0,chained,20,100,13.5,0.0,0.0,0.0,1.7,4,41.94,0.6042,0
1.0,chained,50,100,5.8,0.0,0.0,0.0,2.06,5,149.77,0.8402,0
3.0,single,0,100,1,0.0116,0.0,0.0,4.57,95,575.81,0.9488,0
3.0,oracle,20,100,13.5,0.0009,0.0,0.0,10.08,19,470.9,0.8442,0
3.0,oracle,50,100,5.8,0.0965,0.0,0.0,18.19,42,585.57,0.917,0
3.0,chained,20,100,13.5,0.0014,0.0,0.0,2.45,16,309.02,0.8442,0
3.0,chained,50,100,5.8,0.0061,0.0,0.0,3.61,43,483.11,0.8976,0
5.0,single,0,100,1,0.0925,0.0,5.0,19.26,206,624.52,0.5942,0
5.0,oracle,20,100,13.5,0.0275,0.0,0.0,14.43,34,580.18,0.8133,0
5.0,oracle,50,100,5.8,0.2301,0.1862,0.0,28.49,83,670.32,0.8756,0
5.0,chained,20,100,13.5,0.0031,0.0,0.0,4.67,33,404.81,0.7953,0
5.0,chained,50,100,5.8,0.0348,0.0,0.0,7.32,43,557.9,0.8756,0
10.0,single,0,100,1,0.2005,0.0,10.0,35.61,199,673.97,0.3348,0
10.0,oracle,20,100,13.5,0.189,0.1631,0.0,23.86,83,685.41,0.5315,0
10.0,oracle,50,100,5.8,0.4103,0.4027,3.0,41.69,84,739.48,0.4621,0
10.0,chained,20,100,13.5,0.025,0.0,0.0,9.47,43,471.96,0.5107,0
10.0,chained,50,100,5.8,0.1124,0.0,2.0,16.57,77,608.79,0.4621,0
20.0,single,0,100,1,0.4759,0.3674,28.0,78.63,214,761.26,0.1775,0
20.0,oracle,20,100,13.5,0.8579,0.8924,74.0,112.23,219,831.15,0.2915,0
20.0,oracle,50,100,5.8,0.7865,0.8178,57.0,101.91,219,859.82,0.2581,0
20.0,chained,20,100,13.5,0.44,0.3539,26.0,63.88,184,682.92,0.2915,0
20.0,chained,50,100,5.8,0.5039,0.4807,33.0,64.16,194,762.04,0.2581,0
