quantity,arm,value,lo95,hi95,n,reading,consistency,n_empty,level_empty
level,sel_n64,0.519,0.4795,0.5575,500,,0.784,41,0.5549
level,sel_n1,0.3295,0.2955,0.364,500,,0.756,64,0.5664
level,sel_g64,0.5405,0.502,0.5785,500,,0.756,71,0.6162
level,anchor_k0,0.3385,0.3045,0.372,500,,0.762,62,0.5927
level,metered_k10,0.473,0.4365,0.5105,500,,0.796,0,
gain,sel_n64 - sel_n1,0.1895,0.1585,0.221,500,CONFIRMED,,,
gain,sel_g64 - sel_n1,0.211,0.179,0.244,500,CONFIRMED,,,
gain,metered_k10 - anchor_k0,0.1345,0.0955,0.1735,500,CONFIRMED,,,
difference,sel_n64 - sel_g64,-0.0215,-0.0455,0.002,500,UNRESOLVED,,,
"difference, consistent pair",sel_n64 - sel_g64,-0.009,-0.0331,0.0151,332,UNRESOLVED,,,
"difference, consistent four",sel_n64 - sel_g64,-0.0112,-0.0353,0.013,269,UNRESOLVED,,,
difference,sel_n64 - metered_k10,0.055,0.0075,0.1035,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - metered_k10,0.0321,-0.0266,0.0901,319,UNRESOLVED,,,
"difference, consistent four",sel_n64 - metered_k10,-0.0391,-0.1043,0.0261,230,UNRESOLVED,,,
difference,sel_g64 - metered_k10,0.0765,0.0285,0.126,500,CONFIRMED,,,
"difference, consistent pair",sel_g64 - metered_k10,0.0403,-0.0226,0.1032,310,UNRESOLVED,,,
"difference, consistent four",sel_g64 - metered_k10,-0.0116,-0.0814,0.0605,215,UNRESOLVED,,,
