n_pairs,s_safe,requirement,raw,winner,flipped,gap
2,0.005913,0.004557,0.021548,requirement,,0.001356
3,0.007025,0.009584,0.033315,s_safe,true,-0.002558
4,0.018002,0.014316,0.033315,requirement,true,0.003686
5,0.026442,0.02153,0.033315,requirement,false,0.004912
6,0.026612,0.02541,0.033393,requirement,false,0.001202
7,0.026754,0.026167,0.033393,requirement,false,0.000587
8,0.026754,0.026167,0.03703,requirement,false,0.000587
9,0.026754,0.026167,0.03703,requirement,false,0.000587
