k,K,split,n,vacuous_n,vacuous_pct,cap_median,cap_mean,cap_min,cap_simple_median,bestofn_equiv_log10n
0.1,20.0,all,758,1,0.13,0.1127,0.1163,0.065862,0.1146,8.7
0.1,20.0,attack_train,458,1,0.22,0.1104,0.1134,0.065862,0.1123,8.7
0.1,20.0,val,150,0,0.0,0.1255,0.1283,0.077727,0.1274,8.7
0.1,20.0,test,150,0,0.0,0.1101,0.1131,0.07721,0.1119,8.7
0.15,30.0,all,758,1,0.13,0.1687,0.1733,0.098655,0.17,13.0
0.15,30.0,attack_train,458,1,0.22,0.1652,0.1686,0.098655,0.1665,13.0
0.15,30.0,val,150,0,0.0,0.1877,0.1919,0.116399,0.189,13.0
0.15,30.0,test,150,0,0.0,0.1647,0.1693,0.115625,0.166,13.0
0.25,50.0,all,758,1,0.13,0.2803,0.287,0.164131,0.2808,21.7
0.25,50.0,attack_train,458,1,0.22,0.2745,0.2786,0.164131,0.2751,21.7
0.25,50.0,val,150,0,0.0,0.3117,0.3185,0.193583,0.3121,21.7
0.25,50.0,test,150,0,0.0,0.2736,0.2812,0.192299,0.2742,21.7
0.5,100.0,all,758,2,0.26,0.5578,0.5696,0.327415,0.5578,43.4
0.5,100.0,attack_train,458,1,0.22,0.5464,0.5522,0.327415,0.5464,43.4
0.5,100.0,val,150,1,0.67,0.6198,0.6328,0.385956,0.62,43.4
0.5,100.0,test,150,0,0.0,0.5447,0.5594,0.383405,0.5447,43.4
1.0,200.0,all,758,561,74.01,1.0,0.9738,0.652816,1.0,86.9
1.0,200.0,attack_train,458,317,69.21,1.0,0.9685,0.652816,1.0,86.9
1.0,200.0,val,150,132,88.0,1.0,0.9893,0.76887,1.0,86.9
1.0,200.0,test,150,112,74.67,1.0,0.9746,0.763821,1.0,86.9
1.5,300.0,all,758,757,99.87,1.0,1.0,0.976436,1.0,130.3
1.5,300.0,attack_train,458,457,99.78,1.0,0.9999,0.976436,1.0,130.3
1.5,300.0,val,150,150,100.0,1.0,1.0,1.0,1.0,130.3
1.5,300.0,test,150,150,100.0,1.0,1.0,1.0,1.0,130.3
3.0,600.0,all,758,758,100.0,1.0,1.0,1.0,1.0,260.6
3.0,600.0,attack_train,458,458,100.0,1.0,1.0,1.0,1.0,260.6
3.0,600.0,val,150,150,100.0,1.0,1.0,1.0,1.0,260.6
3.0,600.0,test,150,150,100.0,1.0,1.0,1.0,1.0,260.6
5.0,1000.0,all,758,758,100.0,1.0,1.0,1.0,1.0,434.3
5.0,1000.0,attack_train,458,458,100.0,1.0,1.0,1.0,1.0,434.3
5.0,1000.0,val,150,150,100.0,1.0,1.0,1.0,1.0,434.3
5.0,1000.0,test,150,150,100.0,1.0,1.0,1.0,1.0,434.3
10.0,2000.0,all,758,758,100.0,1.0,1.0,1.0,1.0,868.6
10.0,2000.0,attack_train,458,458,100.0,1.0,1.0,1.0,1.0,868.6
10.0,2000.0,val,150,150,100.0,1.0,1.0,1.0,1.0,868.6
10.0,2000.0,test,150,150,100.0,1.0,1.0,1.0,1.0,868.6
20.0,4000.0,all,758,758,100.0,1.0,1.0,1.0,1.0,1737.2
20.0,4000.0,attack_train,458,458,100.0,1.0,1.0,1.0,1.0,1737.2
20.0,4000.0,val,150,150,100.0,1.0,1.0,1.0,1.0,1737.2
20.0,4000.0,test,150,150,100.0,1.0,1.0,1.0,1.0,1737.2
