k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.3316,5.06,,,
0.5,100,0,0,0.0,0.4542,1.45,,,
1,100,0,0,0.0006,0.562,0.93,,,
3,100,24.0,65.0,0.9759,0.9936,0.37,,,
5,100,72.0,84.0,0.9988,0.9993,0.25,,,
10,100,97.0,99.0,0.9999,0.9999,0.03,,,
20,100,100,100,1.0,1.0,0,,,
