score,n_cells,auc_mean,auc_min,auc_max
-r(x),8,0.6779569702424187,0.5457875457875457,0.7864583333333334
-s_safe(x),8,0.7510161654251316,0.5604395604395604,0.9037800687285223
s_risky(x),8,0.4170814075023645,0.08080808080808081,0.618921308576481
