n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.0,0.0,1.51,0.0
2,0.1931,100,0.0,0.0,1.7,0.0
4,0.6363,100,0.0,0.0,1.88,0.0
8,1.2044,100,0.0,0.0,1.94,0.0
16,1.8351,100,0.0,0.0,1.94,0.0
32,2.497,100,0.0,0.0,1.89,0.0
64,3.1745,100,0.0,0.0,1.78,0.0
-1,,100,0.4338,0.8233,,80.0
