row,n,D3,D3_lo95,D3_hi95,D3_reading,D3_nonempty,D3_nonempty_lo95,D3_nonempty_hi95,D3_nonempty_reading,prompts_level_moved,same_label,D3_table2_pass,D3_shift
headline,500,0.059,0.0235,0.094,CONFIRMED,0.058,0.0225,0.093,CONFIRMED,28,True,0.0505,0.0085
he70b_k20,500,0.0815,0.0485,0.1155,CONFIRMED,0.0805,0.0475,0.113,CONFIRMED,28,True,0.0825,-0.001
he70b_k05,500,0.1085,0.078,0.1395,CONFIRMED,0.1075,0.0765,0.1375,CONFIRMED,28,True,0.105,0.0035
chat_k10,500,-0.145,-0.184,-0.1065,REFUTED,-0.1485,-0.187,-0.11,REFUTED,24,True,-0.1485,0.0035
chat_k3,500,-0.051,-0.0885,-0.0135,REFUTED,-0.0545,-0.091,-0.0175,REFUTED,24,True,-0.051,0.0
t07_8b_k10,500,-0.081,-0.113,-0.049,REFUTED,-0.0825,-0.114,-0.051,REFUTED,6,True,-0.081,0.0
t07_70b_k20,500,0.0485,0.0145,0.082,CONFIRMED,0.047,0.014,0.081,CONFIRMED,6,True,0.0485,0.0
ab70_k01,500,0.1385,0.1155,0.162,CONFIRMED,0.1475,0.125,0.1705,CONFIRMED,21,True,0.1385,0.0
