prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.7621,0.8069,0.802,162,0.802,162,0.802,162
bookmia.00.26,1984,0.7014,0.0692,0.7393,0.5213,95,0.7393,95,0.0,3
bookmia.00.31,1984,0.0,0.2018,0.7526,0.7368,78,0.7368,78,0.7368,80
bookmia.00.40,1984,0.2892,0.027,0.7304,0.0,3,0.0,13,0.7304,145
bookmia.00.46,1984,0.0,0.5612,0.7897,0.6449,138,0.785,168,0.785,168
bookmia.00.48,1984,0.77,0.6853,0.8169,0.2441,52,0.8122,153,0.8122,153
bookmia.00.64,1984,0.0,0.5767,0.7834,0.7558,85,0.7558,85,0.7834,170
bookmia.00.71,1984,0.3897,0.6163,0.7465,0.4742,98,0.7465,112,0.7465,159
bookmia.01.00,a_game_of_thrones,0.0,0.1897,0.5493,0.2488,39,0.2958,23,0.5493,78
bookmia.01.01,a_game_of_thrones,0.2488,0.4518,0.7005,0.3687,68,0.5714,124,0.7005,152
bookmia.01.02,a_game_of_thrones,0.7424,0.3115,0.7424,0.2374,47,0.7424,147,0.7424,147
bookmia.01.03,a_game_of_thrones,0.2778,0.6126,0.7879,0.4242,84,0.7879,53,0.7879,107
bookmia.01.04,a_game_of_thrones,0.2754,0.721,0.7923,0.7923,96,0.7923,107,0.7923,164
bookmia.01.07,a_game_of_thrones,0.5352,0.2929,0.723,0.0,2,0.5681,90,0.1831,36
bookmia.01.10,a_game_of_thrones,0.0,0.7022,0.7574,0.7525,71,0.7525,103,0.7525,103
bookmia.01.11,a_game_of_thrones,0.7642,0.5341,0.7642,0.75,71,0.7642,100,0.7642,100
bookmia.01.12,a_game_of_thrones,0.1033,0.2875,0.6854,0.5915,75,0.5915,75,0.6714,85
bookmia.01.14,a_game_of_thrones,0.7487,0.6063,0.7588,0.7337,77,0.7437,82,0.7538,104
bookmia.01.20,a_game_of_thrones,0.1281,0.0613,0.5271,0.0,13,0.3054,58,0.5271,66
bookmia.01.22,a_game_of_thrones,0.6965,0.4403,0.7264,0.7264,78,0.7264,78,0.7264,78
bookmia.01.23,a_game_of_thrones,0.2663,0.2144,0.7446,0.1359,25,0.7446,66,0.7446,66
bookmia.01.26,a_game_of_thrones,0.285,0.3903,0.585,0.425,55,0.45,53,0.52,55
bookmia.01.27,a_game_of_thrones,0.6649,0.2838,0.7297,0.1135,21,0.5351,99,0.5297,80
bookmia.01.31,a_game_of_thrones,0.2359,0.4204,0.7538,0.1077,21,0.7333,117,0.7487,120
bookmia.01.32,a_game_of_thrones,0.0,0.278,0.4973,0.4759,53,0.4759,89,0.4759,89
bookmia.01.33,a_game_of_thrones,0.7158,0.6222,0.7263,0.7211,88,0.7211,137,0.7211,137
bookmia.01.36,a_game_of_thrones,0.6946,0.6274,0.7586,0.532,80,0.7488,80,0.7586,154
bookmia.01.37,a_game_of_thrones,0.6649,0.3782,0.7872,0.1915,36,0.7872,148,0.7872,148
bookmia.01.39,a_game_of_thrones,0.24,0.3333,0.79,0.195,39,0.425,62,0.78,156
bookmia.01.41,a_game_of_thrones,0.0,0.3503,0.7913,0.0,8,0.7379,108,0.7864,135
bookmia.01.42,a_game_of_thrones,0.0,0.5171,0.7463,0.122,25,0.6683,71,0.6976,79
bookmia.01.43,a_game_of_thrones,0.0,0.1498,0.4714,0.0,5,0.1571,22,0.4714,86
bookmia.01.44,a_game_of_thrones,0.1923,0.4898,0.7452,0.4808,82,0.7308,82,0.7308,152
bookmia.01.46,a_game_of_thrones,0.1465,0.4436,0.7525,0.2879,38,0.7121,112,0.7475,148
bookmia.01.49,a_game_of_thrones,0.3366,0.0607,0.6244,0.3707,47,0.4049,83,0.5756,47
bookmia.01.51,a_game_of_thrones,0.75,0.7242,0.7689,0.7547,160,0.7547,160,0.7547,160
bookmia.01.52,a_game_of_thrones,0.6812,0.2859,0.6908,0.6473,93,0.6908,113,0.6812,141
bookmia.01.58,a_game_of_thrones,0.0,0.3558,0.7842,0.3737,49,0.3737,49,0.7684,79
bookmia.01.59,a_game_of_thrones,0.3615,0.4242,0.6338,0.554,116,0.6244,133,0.6244,88
bookmia.01.60,a_game_of_thrones,0.0,0.1125,0.1923,0.1923,40,0.1923,40,0.0,2
bookmia.01.62,a_game_of_thrones,0.6543,0.4801,0.7606,0.7606,104,0.7553,103,0.7553,103
bookmia.01.69,a_game_of_thrones,0.4975,0.6384,0.7662,0.7612,113,0.7562,152,0.7562,152
bookmia.01.71,a_game_of_thrones,0.0,0.4264,0.7536,0.4218,59,0.7393,96,0.7536,159
bookmia.01.73,a_game_of_thrones,0.1925,0.355,0.6901,0.23,49,0.5869,53,0.6901,67
bookmia.01.74,a_game_of_thrones,0.0,0.2079,0.7938,0.0,3,0.7629,58,0.7887,80
bookmia.01.75,a_game_of_thrones,0.1474,0.3846,0.7368,0.7368,75,0.7368,75,0.7368,75
bookmia.01.76,a_game_of_thrones,0.0,0.1711,0.4975,0.1759,25,0.2513,25,0.2513,25
bookmia.01.77,a_game_of_thrones,0.0,0.3214,0.7251,0.6588,81,0.7251,153,0.7251,153
bookmia.01.78,a_game_of_thrones,0.768,0.4344,0.7732,0.0,16,0.7526,146,0.7526,146
bookmia.01.79,a_game_of_thrones,0.2982,0.3215,0.6697,0.3853,75,0.4083,75,0.6697,75
bookmia.01.81,a_game_of_thrones,0.2255,0.5405,0.75,0.6029,47,0.7304,75,0.7402,75
bookmia.01.82,a_game_of_thrones,0.7799,0.5617,0.7799,0.0,11,0.7751,103,0.7799,163
bookmia.01.83,a_game_of_thrones,0.7512,0.5611,0.7612,0.6915,80,0.7562,152,0.7562,152
bookmia.01.87,a_game_of_thrones,0.2991,0.1725,0.1963,0.1449,31,0.1963,42,0.1963,42
bookmia.01.88,a_game_of_thrones,0.7385,0.6328,0.759,0.2308,45,0.7538,147,0.7538,147
