k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.086,15.83,,,
0.5,100,0,0,0.0,0.1541,7.02,,,
1,100,0,0,0.0,0.2468,4.58,,,
3,100,0,18.0,0.4564,0.8134,1.72,,,
5,100,46.0,71.0,0.9937,0.9967,0.62,,,
10,100,99.0,99.0,1.0,1.0,0.01,,,
20,100,100,100,1.0,1.0,0,,,
