n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.1685,0.5882,36.34,57.0
8,1.2044,100,0.3365,0.5882,67.47,88.0
64,3.1745,100,0.4333,0.5931,83.6,99.0
-1,,100,0.3925,0.8154,,78.0
