variant,k,split,n_traj,active_step_pct,forced_safe_step_pct,risky_unchanged_step_pct,traj_with_active_step_pct,identical_to_risky_pct,util_mean,util_max,util_gt_0p9_pct,invariant_violations,lead_forced_mean,lead_forced_max,delta_init_mean,gen_len_mean,rouge_l_mean,lcs_word_mean,lcs_char_mean,acs_word_mean,nv_recall_mean,nv_recall_gt0_pct,lcs_word_max
plain,-1.0,attack_train,300,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,6.216,200,0.0871,1.75,10.09,0.0333,0.0,0.0,5
plain,-1.0,creative,450,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,3.45,198.6,0.071,1.5556,9.6578,0.12,0.0014,0.22,18
plain,-1.0,factual,450,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,4.123,199.7,0.0682,3.4511,23.6244,1.7511,0.0,0.0,13
plain,-1.0,neutral,600,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,2.628,200,0.0,0,0,0,0.0,0.0,0
plain,-1.0,test,450,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,5.809,200,0.0778,1.6333,10.2933,0.1,0.0,0.0,8
plain,-1.0,val,450,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,5.276,200,0.0912,1.8222,11.34,0.0356,0.0,0.0,6
plain,-1.0,all,2700,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,4.384,199.7,0.061,1.6048,10.2737,0.3381,0.0002,0.04,18
plain,0.0,attack_train,300,0.0,100.0,0.0,0.0,0.0,,,,0,170.02,200,6.216,170.0,0.0993,1.7067,9.4567,0,0.0,0.0,4
plain,0.0,creative,450,0.0,100.0,0.0,0.0,0.0,,,,0,104.469,200,3.45,104.5,0.0769,1.3333,8.4578,0.08,0.0,0.0,7
plain,0.0,factual,450,0.0,100.0,0.0,0.0,0.0,,,,0,100.48,200,4.123,100.5,0.0406,2.3244,14.6222,0.0578,0.0,0.0,6
plain,0.0,neutral,600,0.0,100.0,0.0,0.0,0.0,,,,0,91.817,200,2.628,91.8,0.0,0,0,0,0.0,0.0,0
