k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.3088,2.73,,,
0.5,100,0,0,0.0,0.4436,1.22,,,
1,100,0,0,0.0013,0.5514,0.79,,,
3,100,22.0,55.0,0.9525,0.9871,0.49,,,
5,100,73.0,80.0,0.9979,0.9986,0.27,,,
10,100,97.0,98.0,0.9999,0.9999,0.03,,,
20,100,100,100,1.0,1.0,0,,,
