published_k,alpha,k_matched,price_nats,logp_target,nats_per_window,off_grid
1.0,1.0,1.0,4550.459,-5570.265,0.0,False
1.0,2.0,1.9633,4550.459,-6856.613,6.77,False
1.0,4.0,3.1054,4550.459,-6737.954,6.146,False
1.0,8.0,4.0084,4550.459,-5598.281,0.147,False
3.0,1.0,3.0,5351.439,-1761.033,0.0,False
3.0,2.0,5.4499,5351.439,-1749.591,-0.06,False
3.0,4.0,7.0579,5351.439,-1252.165,-2.678,False
3.0,8.0,7.9863,5351.439,-882.33,-4.625,False
